locus_tag	ftype	length_bp	gene	EC_number	COG	product
P004_WB02_00001	CDS	1188	atpA_1			ATP synthase CF1 alpha subunit
P004_WB02_00002	CDS	483				hypothetical protein
P004_WB02_00003	CDS	360				hypothetical protein
P004_WB02_00004	CDS	321	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P004_WB02_00005	CDS	525	petD			cytochrome b6/f complex subunit IV
P004_WB02_00006	CDS	489	petB			cytochrome b6
P004_WB02_00007	CDS	222	psbH			photosystem II phosphoprotein
P004_WB02_00008	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P004_WB02_00009	CDS	399	rps8			ribosomal protein S8
P004_WB02_00010	CDS	402	rpl14			ribosomal protein L14
P004_WB02_00011	CDS	387	rpl16			ribosomal protein L16
P004_WB02_00012	CDS	342				hypothetical protein
P004_WB02_00013	rRNA	575				16S ribosomal RNA (partial)
P004_WB02_00014	CDS	747				hypothetical protein
P004_WB02_00015	CDS	534	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P004_WB02_00016	CDS	306	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P004_WB02_00017	CDS	357	psaC	1.97.1.12		Photosystem I iron-sulfur center
P004_WB02_00018	CDS	1521	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P004_WB02_00019	CDS	963	ccsA			cytochrome c heme attachment protein
P004_WB02_00020	tRNA	80				tRNA-Leu(tag)
P004_WB02_00021	CDS	258				hypothetical protein
P004_WB02_00022	CDS	315				hypothetical protein
P004_WB02_00023	CDS	495				hypothetical protein
P004_WB02_00024	CDS	168				hypothetical protein
P004_WB02_00025	CDS	4278	rpoC2			RNA polymerase beta'' subunit
P004_WB02_00026	CDS	1710	rpoC1_1			RNA polymerase beta' subunit
P004_WB02_00027	CDS	183				hypothetical protein
P004_WB02_00028	CDS	459	rpoC1_2			RNA polymerase beta' subunit
P004_WB02_00029	CDS	3258	rpoB			RNA polymerase beta subunit
P004_WB02_00030	CDS	315				hypothetical protein
P004_WB02_00031	CDS	216				hypothetical protein
P004_WB02_00032	tRNA	71				tRNA-Cys(gca)
P004_WB02_00033	CDS	186				hypothetical protein
P004_WB02_00034	CDS	348	ndhF			NADH-plastoquinone oxidoreductase subunit 5
P004_WB02_00035	CDS	285				hypothetical protein
P004_WB02_00036	CDS	303	rps14_1			ribosomal protein S14
P004_WB02_00037	CDS	2205	psaB			photosystem I P700 apoprotein A2
P004_WB02_00038	CDS	2253	psaA			photosystem I P700 apoprotein A1
P004_WB02_00039	CDS	180				hypothetical protein
P004_WB02_00040	tRNA	72				tRNA-Gln(ttg)
P004_WB02_00041	CDS	195	psbK			photosystem II protein K
P004_WB02_00042	CDS	111	psbI			photosystem II protein I
P004_WB02_00043	tRNA	90				tRNA-Ser(gct)
P004_WB02_00044	tRNA	72				tRNA-Arg(tct)
P004_WB02_00045	CDS	1524	atpA_2			ATP synthase CF1 alpha subunit
P004_WB02_00046	CDS	489	atpF_1			ATP synthase CF0 subunit I
P004_WB02_00047	CDS	171	atpF_2			ATP synthase CF0 subunit I
P004_WB02_00048	CDS	246	atpH			ATP synthase CF0 subunit III
P004_WB02_00049	CDS	339				hypothetical protein
