P001_WB01_00250 	Brassicaceae;Arabis	Ranunculaceae;Ranunculus	Caryophyllaceae;Dianthus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus
P001_WB01_00344 	Brassicaceae;Arabis	Orobanchaceae;Euphrasia	Brassicaceae;Arabis	Orobanchaceae;Euphrasia	Orobanchaceae;Bartsia	Orobanchaceae;Euphrasia
P001_WB01_00424 	Brassicaceae;Arabis	Brassicaceae;Arabis	Asteraceae;Taraxacum	Brassicaceae;Draba	Brassicaceae;Arabis	Brassicaceae;Draba
P001_WB01_00461 	Brassicaceae;Arabis	Poaceae;Avenella	Poaceae;Deschampsia	Poaceae;Avenella	Poaceae;Festuca	Poaceae;Sesleria
P001_WB12_00046 	Asteraceae;Gnaphalium	Campanulaceae;Campanula	Asteraceae;Gnaphalium	Campanulaceae;Campanula	Campanulaceae;Campanula	Campanulaceae;Campanula
P001_WB12_00134 	Asteraceae;Gnaphalium	Asteraceae;Gamochaeta	Asteraceae;Gnaphalium	Asteraceae;Aster	Asteraceae;Solidago	Asteraceae;Aster
P001_WD08_00007 	Caryophyllaceae;Cerastium	Caryophyllaceae;Pseudocerastium	Caryophyllaceae;Stellaria	Caryophyllaceae;Cerastium	Cyperaceae;Carex	Caryophyllaceae;Cerastium
P001_WD08_00234 	Caryophyllaceae;Cerastium	Boraginaceae;Lithospermum	Boraginaceae;Myosotis	Plantaginaceae;Pennellianthus	Lentibulariaceae;Pinguicula	Plantaginaceae;Veronica
P001_WD11_00114 	Crassulaceae;Sedum	Crassulaceae;Rosularia	Crassulaceae;Sempervivum	Crassulaceae;Sedum	Crassulaceae;Rhodiola	Ericaceae;Rhododendron
P001_WD11_00148 	Crassulaceae;Sedum	Apiaceae;Angelica	Apiaceae;Ligusticum	Apiaceae;Peucedanum	Apiaceae;Carum	Apiaceae;Carum
P001_WE04_00034 	Tofieldiaceae;Tofieldia	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Polygonaceae;Oxyria
P001_WE04_00057 	Tofieldiaceae;Tofieldia	Tofieldiaceae;Tofieldia	Liliaceae;Fritillaria	Liliaceae;Gagea	Cyperaceae;Carex	Rosaceae;Dryas
P001_WE12_00004 	Cyperaceae;Carex	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Cyperaceae;Carex	Asteraceae;Taraxacum	Asteraceae;Taraxacum
P001_WE12_00226 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Kobresia	Cyperaceae;Carex	Cyperaceae;Carex
