locus_tag	ftype	length_bp	gene	EC_number	COG	product
P001_WF04_00001	tRNA	75				tRNA-His(gtg)
P001_WF04_00002	CDS	1062	psbA			photosystem II protein D1
P001_WF04_00003	CDS	639	matK			maturase K
P001_WF04_00004	CDS	765				hypothetical protein
P001_WF04_00005	CDS	252				hypothetical protein
P001_WF04_00006	CDS	258				hypothetical protein
P001_WF04_00007	CDS	219				hypothetical protein
P001_WF04_00008	tRNA	72				tRNA-Gln(ttg)
P001_WF04_00009	CDS	180	psbK			photosystem II protein K
P001_WF04_00010	tRNA	88				tRNA-Ser(gct)
P001_WF04_00011	tRNA	72				tRNA-Arg(tct)
P001_WF04_00012	CDS	1524	atpA			ATP synthase CF1 alpha subunit
P001_WF04_00013	CDS	375	atpF_1			ATP synthase CF0 subunit I
P001_WF04_00014	CDS	171	atpF_2			ATP synthase CF0 subunit I
P001_WF04_00015	CDS	246	atpH			ATP synthase CF0 subunit III
P001_WF04_00016	CDS	741	atpI			ATP synthase CF0 subunit IV
P001_WF04_00017	CDS	711	rps2			ribosomal protein S2
P001_WF04_00018	CDS	4122	rpoC2			RNA polymerase beta'' subunit
P001_WF04_00019	CDS	1428	rpoC1_1			RNA polymerase beta' subunit
P001_WF04_00020	CDS	438	rpoC1_2			RNA polymerase beta' subunit
P001_WF04_00021	CDS	3213	rpoB			RNA polymerase beta subunit
P001_WF04_00022	tRNA	72				tRNA-Cys(gca)
P001_WF04_00023	CDS	90	petN			cytochrome b6/f complex subunit VII
P001_WF04_00024	CDS	213				hypothetical protein
P001_WF04_00025	tRNA	77				tRNA-Asp(gtc)
P001_WF04_00026	tRNA	86				tRNA-Tyr(gta)
P001_WF04_00027	tRNA	75				tRNA-Glu(ttc)
P001_WF04_00028	tRNA	74				tRNA-Thr(ggt)
P001_WF04_00029	CDS	1062	psbD			photosystem II protein D2
P001_WF04_00030	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P001_WF04_00031	tRNA	93				tRNA-Ser(tga)
P001_WF04_00032	CDS	249				hypothetical protein
