locus_tag	ftype	length_bp	gene	EC_number	COG	product
P001_WH08_00001	CDS	279	rps19			ribosomal protein S19
P001_WH08_00002	CDS	468	rpl22			ribosomal protein L22
P001_WH08_00003	CDS	657	rps3			ribosomal protein S3
P001_WH08_00004	CDS	360	rpl16			ribosomal protein L16
P001_WH08_00005	CDS	369	rpl14			ribosomal protein L14
P001_WH08_00006	CDS	405	rps8			ribosomal protein S8
P001_WH08_00007	CDS	234	infA			translational initiation factor 1
P001_WH08_00008	CDS	114	rpl36			ribosomal protein L36
P001_WH08_00009	CDS	411	rps11			ribosomal protein S11
P001_WH08_00010	CDS	1008	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
P001_WH08_00011	CDS	525	petD			cytochrome b6/f complex subunit IV
P001_WH08_00012	CDS	489	petB			cytochrome b6
P001_WH08_00013	CDS	240	psbH			photosystem II phosphoprotein
P001_WH08_00014	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P001_WH08_00015	CDS	315	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P001_WH08_00016	CDS	222	clpP_2	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P001_WH08_00017	CDS	381	rpl20			ribosomal protein L20
P001_WH08_00018	CDS	306	rps18			ribosomal protein S18
P001_WH08_00019	CDS	201	rpl33			ribosomal protein L33
P001_WH08_00020	CDS	135	psaJ			photosystem I subunit IX
P001_WH08_00021	tRNA	76				tRNA-Pro(tgg)
P001_WH08_00022	tRNA	74				tRNA-Trp(cca)
P001_WH08_00023	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P001_WH08_00024	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P001_WH08_00025	CDS	123	psbJ			photosystem II protein J
P001_WH08_00026	CDS	963	petA			cytochrome f
P001_WH08_00027	CDS	690	cemA			envelope membrane protein
P001_WH08_00028	CDS	195				hypothetical protein
P001_WH08_00029	CDS	642	ycf4			photosystem I assembly protein Ycf4
P001_WH08_00030	CDS	1503	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P001_WH08_00031	CDS	1458	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P001_WH08_00032	CDS	1479	atpB			ATP synthase CF1 beta subunit
P001_WH08_00033	CDS	402	atpE			ATP synthase CF1 epsilon subunit
P001_WH08_00034	tRNA	73				tRNA-Met(cat)
P001_WH08_00035	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P001_WH08_00036	CDS	678	ndhK			NADH-plastoquinone oxidoreductase subunit K
P001_WH08_00037	CDS	477	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P001_WH08_00038	tRNA	74				tRNA-Phe(gaa)
P001_WH08_00039	CDS	147				hypothetical protein
P001_WH08_00040	tRNA	75				tRNA-Thr(tgt)
P001_WH08_00041	CDS	606	rps4			ribosomal protein S4
P001_WH08_00042	tRNA	89				tRNA-Ser(gga)
P001_WH08_00043	CDS	243				hypothetical protein
P001_WH08_00044	CDS	249	ycf3			hypothetical chloroplast RF34
P001_WH08_00045	CDS	2253	psaA			photosystem I P700 apoprotein A1
P001_WH08_00046	CDS	2205	psaB			photosystem I P700 apoprotein A2
P001_WH08_00047	CDS	180				hypothetical protein
P001_WH08_00048	tRNA	74				tRNA-Met(cat)
P001_WH08_00049	tRNA	72				tRNA-Gly(gcc)
P001_WH08_00050	CDS	189	psbZ			photosystem II protein Z
P001_WH08_00051	tRNA	83				tRNA-Ser(tga)
P001_WH08_00052	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P001_WH08_00053	CDS	1062	psbD			photosystem II protein D2
P001_WH08_00054	CDS	153				hypothetical protein
P001_WH08_00055	CDS	216				hypothetical protein
P001_WH08_00056	tRNA	72				tRNA-Arg(tct)
P001_WH08_00057	CDS	1527	atpA			ATP synthase CF1 alpha subunit
P001_WH08_00058	CDS	375	atpF_1			ATP synthase CF0 subunit I
P001_WH08_00059	CDS	171	atpF_2			ATP synthase CF0 subunit I
P001_WH08_00060	tRNA	75				tRNA-His(gtg)
P001_WH08_00061	CDS	1062	psbA			photosystem II protein D1
P001_WH08_00062	CDS	1512	matK			maturase K
P001_WH08_00063	CDS	132	rps16			ribosomal protein S16
P001_WH08_00064	CDS	198				hypothetical protein
P001_WH08_00065	CDS	165				hypothetical protein
P001_WH08_00066	tRNA	72				tRNA-Gln(ttg)
P001_WH08_00067	CDS	189	psbK			photosystem II protein K
P001_WH08_00068	CDS	111	psbI			Photosystem II reaction center protein I
P001_WH08_00069	tRNA	88				tRNA-Ser(gct)
P001_WH08_00070	tRNA	72				tRNA-Cys(gca)
P001_WH08_00071	tRNA	77				tRNA-Asp(gtc)
P001_WH08_00072	tRNA	87				tRNA-Tyr(gta)
P001_WH08_00073	tRNA	72				tRNA-Glu(ttc)
P001_WH08_00074	CDS	3183	rpoB			RNA polymerase beta subunit
P001_WH08_00075	CDS	459	rpoC1_1			RNA polymerase beta' subunit
P001_WH08_00076	CDS	1497	rpoC1_2			RNA polymerase beta' subunit
P001_WH08_00077	CDS	4134	rpoC2			RNA polymerase beta'' subunit
P001_WH08_00078	CDS	711	rps2			ribosomal protein S2
P001_WH08_00079	CDS	744	atpI			ATP synthase CF0 subunit IV
P001_WH08_00080	CDS	246	atpH			ATP synthase CF0 subunit III
P001_WH08_00081	CDS	252				hypothetical protein
P001_WH08_00082	tRNA	74				tRNA-Asn(gtt)
P001_WH08_00083	CDS	135				hypothetical protein
P001_WH08_00084	tRNA	75				tRNA-Arg(acg)
P001_WH08_00085	rRNA	3011				23S ribosomal RNA
P001_WH08_00086	CDS	249				hypothetical protein
P001_WH08_00087	CDS	114				hypothetical protein
P001_WH08_00088	CDS	216				hypothetical protein
P001_WH08_00089	CDS	276				hypothetical protein
P001_WH08_00090	rRNA	1487				16S ribosomal RNA
P001_WH08_00091	tRNA	72				tRNA-Val(gac)
P001_WH08_00092	CDS	267				hypothetical protein
P001_WH08_00093	CDS	192				hypothetical protein
P001_WH08_00094	CDS	120				hypothetical protein
P001_WH08_00095	CDS	468	rps7			ribosomal protein S7
P001_WH08_00096	CDS	795	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P001_WH08_00097	CDS	111				hypothetical protein
P001_WH08_00098	CDS	783	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P001_WH08_00099	tRNA	83				tRNA-Leu(caa)
P001_WH08_00100	CDS	294				hypothetical protein
P001_WH08_00101	CDS	6366				hypothetical protein
P001_WH08_00102	tRNA	75				tRNA-Met(cat)
P001_WH08_00103	CDS	282	rpl23			ribosomal protein L23
P001_WH08_00104	CDS	402	rpl2			ribosomal protein L2
P001_WH08_00105	CDS	603				hypothetical protein
P001_WH08_00106	CDS	159				hypothetical protein
P001_WH08_00107	CDS	2226	ndhF			NADH-plastoquinone oxidoreductase subunit 5
P001_WH08_00108	CDS	195				hypothetical protein
P001_WH08_00109	tRNA	80				tRNA-Leu(tag)
P001_WH08_00110	CDS	969	ccsA			cytochrome c heme attachment protein
P001_WH08_00111	CDS	1383	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P001_WH08_00112	CDS	141				hypothetical protein
P001_WH08_00113	CDS	246	psaC			photosystem I subunit VII
P001_WH08_00114	CDS	303	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P001_WH08_00115	CDS	531	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P001_WH08_00116	CDS	561	ndhI			NADH-plastoquinone oxidoreductase subunit I
P001_WH08_00117	CDS	471	ndhA_1			NADH-plastoquinone oxidoreductase subunit 1
P001_WH08_00118	CDS	567	ndhA_2			NADH-plastoquinone oxidoreductase subunit 1
P001_WH08_00119	CDS	1236	ndhH			NADH-plastoquinone oxidoreductase subunit 7
P001_WH08_00120	CDS	279	rps15			ribosomal protein S15
P001_WH08_00121	CDS	4635				hypothetical protein
