Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
RapidGenomics_F205_GOT_125402_P001_WA01_i5-501_i7-59_S2512_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WA01_i5-501_i7-59_S2512_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3280065.0	0.0	151.0	46.0	89.6847289981545	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	warn
RapidGenomics_F205_GOT_125402_P001_WA01_i5-501_i7-59_S2512_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WA01_i5-501_i7-59_S2512_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3280065.0	0.0	151.0	46.0	90.35245677140739	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	warn
RapidGenomics_F205_GOT_125402_P001_WA02_i5-501_i7-27_S2513_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WA02_i5-501_i7-27_S2513_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3713224.0	0.0	151.0	38.0	80.20258146586488	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	fail
RapidGenomics_F205_GOT_125402_P001_WA02_i5-501_i7-27_S2513_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WA02_i5-501_i7-27_S2513_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3713224.0	0.0	151.0	38.0	81.07061905590986	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	fail
RapidGenomics_F205_GOT_125402_P001_WA03_i5-501_i7-82_S2514_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WA03_i5-501_i7-82_S2514_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	881208.0	0.0	151.0	35.0	92.92774391185665	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WA03_i5-501_i7-82_S2514_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WA03_i5-501_i7-82_S2514_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	881208.0	0.0	151.0	35.0	93.72413061641312	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WA04_i5-501_i7-7_S2515_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WA04_i5-501_i7-7_S2515_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1491866.0	0.0	151.0	38.0	78.93520929356448	151.0	pass	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass
RapidGenomics_F205_GOT_125402_P001_WA04_i5-501_i7-7_S2515_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WA04_i5-501_i7-7_S2515_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1491866.0	0.0	151.0	39.0	84.4734693266391	151.0	pass	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WA05_i5-501_i7-38_S2516_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WA05_i5-501_i7-38_S2516_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2342855.0	0.0	151.0	47.0	87.39255634423402	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WA05_i5-501_i7-38_S2516_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WA05_i5-501_i7-38_S2516_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2342855.0	0.0	151.0	47.0	90.26600359318353	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WA06_i5-501_i7-74_S2517_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WA06_i5-501_i7-74_S2517_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1330241.0	0.0	151.0	37.0	91.37643186641424	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WA06_i5-501_i7-74_S2517_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WA06_i5-501_i7-74_S2517_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1330241.0	0.0	151.0	37.0	92.46271496999793	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
RapidGenomics_F205_GOT_125402_P001_WA07_i5-501_i7-77_S2518_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WA07_i5-501_i7-77_S2518_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1852008.0	0.0	151.0	36.0	91.85500232538416	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WA07_i5-501_i7-77_S2518_L003_R2_001	RapidGenomics_F205_GOT_125402_P001_WA07_i5-501_i7-77_S2518_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1852008.0	0.0	151.0	36.0	92.44571213051204	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
RapidGenomics_F205_GOT_125402_P001_WA08_i5-501_i7-16_S2519_L003_R1_001	RapidGenomics_F205_GOT_125402_P001_WA08_i5-501_i7-16_S2519_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2252312.0	0.0	151.0	36.0	91.07640432685604	151.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
