locus_tag	ftype	length_bp	gene	EC_number	COG	product
P001_WH05_00001	CDS	279	rps19			ribosomal protein S19
P001_WH05_00002	CDS	495	rpl22			ribosomal protein L22
P001_WH05_00003	CDS	663	rps3			ribosomal protein S3
P001_WH05_00004	CDS	360	rpl16			ribosomal protein L16
P001_WH05_00005	CDS	369	rpl14			ribosomal protein L14
P001_WH05_00006	CDS	405	rps8			ribosomal protein S8
P001_WH05_00007	CDS	234	infA			translational initiation factor 1
P001_WH05_00008	CDS	417	rps11			ribosomal protein S11
P001_WH05_00009	CDS	1014	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
P001_WH05_00010	CDS	459	petD			cytochrome b6/f complex subunit IV
P001_WH05_00011	CDS	489	petB			cytochrome b6
P001_WH05_00012	CDS	225	psbH			photosystem II phosphoprotein
P001_WH05_00013	CDS	282				hypothetical protein
P001_WH05_00014	CDS	183				hypothetical protein
P001_WH05_00015	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P001_WH05_00016	CDS	225	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P001_WH05_00017	CDS	381	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P001_WH05_00018	CDS	387	rpl20			ribosomal protein L20
P001_WH05_00019	CDS	306	rps18			ribosomal protein S18
P001_WH05_00020	CDS	135	psaJ			photosystem I subunit IX
P001_WH05_00021	tRNA	76				tRNA-Pro(tgg)
P001_WH05_00022	tRNA	74				tRNA-Trp(cca)
P001_WH05_00023	CDS	96	petL			cytochrome b6/f complex subunit VI
P001_WH05_00024	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P001_WH05_00025	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P001_WH05_00026	CDS	123	psbJ			photosystem II protein J
P001_WH05_00027	CDS	963	petA			cytochrome f
P001_WH05_00028	CDS	690	cemA			envelope membrane protein
P001_WH05_00029	CDS	555	ycf4			photosystem I assembly protein Ycf4
P001_WH05_00030	CDS	222				hypothetical protein
P001_WH05_00031	CDS	1491	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P001_WH05_00032	CDS	1434	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P001_WH05_00033	CDS	1497	atpB			ATP synthase CF1 beta subunit
P001_WH05_00034	CDS	402	atpE			ATP synthase CF1 epsilon subunit
P001_WH05_00035	tRNA	73				tRNA-Met(cat)
P001_WH05_00036	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P001_WH05_00037	CDS	732	ndhK			NADH-plastoquinone oxidoreductase subunit K
P001_WH05_00038	CDS	477	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P001_WH05_00039	tRNA	74				tRNA-Phe(gaa)
P001_WH05_00040	tRNA	75				tRNA-Thr(tgt)
P001_WH05_00041	CDS	606	rps4			ribosomal protein S4
P001_WH05_00042	tRNA	87				tRNA-Ser(gga)
P001_WH05_00043	CDS	135	ycf3_1			hypothetical chloroplast RF34
P001_WH05_00044	CDS	249				hypothetical protein
P001_WH05_00045	CDS	249	ycf3_2			hypothetical chloroplast RF34
P001_WH05_00046	CDS	168				hypothetical protein
P001_WH05_00047	CDS	2253	psaA			photosystem I P700 apoprotein A1
P001_WH05_00048	CDS	2205	psaB			photosystem I P700 apoprotein A2
P001_WH05_00049	CDS	303	rps14			ribosomal protein S14
P001_WH05_00050	tRNA	75				tRNA-Met(cat)
P001_WH05_00051	tRNA	72				tRNA-Gly(gcc)
P001_WH05_00052	CDS	258				hypothetical protein
P001_WH05_00053	tRNA	93				tRNA-Ser(tga)
P001_WH05_00054	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P001_WH05_00055	CDS	1062	psbD			photosystem II protein D2
P001_WH05_00056	tRNA	74				tRNA-Thr(ggt)
P001_WH05_00057	CDS	150				hypothetical protein
P001_WH05_00058	tRNA	73				tRNA-Glu(ttc)
P001_WH05_00059	tRNA	86				tRNA-Tyr(gta)
P001_WH05_00060	tRNA	77				tRNA-Asp(gtc)
P001_WH05_00061	CDS	204				hypothetical protein
P001_WH05_00062	CDS	90	petN			cytochrome b6/f complex subunit VII
P001_WH05_00063	tRNA	72				tRNA-Cys(gca)
P001_WH05_00064	CDS	3213	rpoB			RNA polymerase beta subunit
P001_WH05_00065	CDS	459	rpoC1_1			RNA polymerase beta' subunit
P001_WH05_00066	CDS	1572	rpoC1_2			RNA polymerase beta' subunit
P001_WH05_00067	CDS	4137	rpoC2			RNA polymerase beta'' subunit
P001_WH05_00068	CDS	711	rps2			ribosomal protein S2
P001_WH05_00069	CDS	744	atpI			ATP synthase CF0 subunit IV
P001_WH05_00070	CDS	246	atpH			ATP synthase CF0 subunit III
P001_WH05_00071	CDS	171	atpF_1			ATP synthase CF0 subunit I
P001_WH05_00072	CDS	489	atpF_2			ATP synthase CF0 subunit I
P001_WH05_00073	CDS	1524	atpA			ATP synthase CF1 alpha subunit
P001_WH05_00074	tRNA	72				tRNA-Arg(tct)
P001_WH05_00075	tRNA	88				tRNA-Ser(gct)
P001_WH05_00076	CDS	111	psbI			Photosystem II reaction center protein I
P001_WH05_00077	CDS	297	psbK			Photosystem II reaction center protein K
P001_WH05_00078	tRNA	72				tRNA-Gln(ttg)
P001_WH05_00079	CDS	222				hypothetical protein
P001_WH05_00080	CDS	1542	matK			maturase K
P001_WH05_00081	CDS	951	psbA			photosystem II protein D1
P001_WH05_00082	tRNA	75				tRNA-His(gtg)
