P001_WA02_00015 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia; 	Plantaginaceae;Pennellianthus; 	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica;
P001_WA02_00091 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Pedicularis; 	Plantaginaceae;Pennellianthus;
P001_WA03_00051 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA04_00033 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P001_WA05_00024 	Poaceae;Festuca; 	Poaceae;Festuca	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WA06_00146 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA07_00015 	Asteraceae;Omalotheca; 	Asteraceae;Gamochaeta	Asteraceae;Gnaphalium; 	Asteraceae;Antennaria; 	Asteraceae;Antennaria; 	Asteraceae;Antennaria;
P001_WA08_00084 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA10_00039 	Rubiaceae;Cruciata; 	Rubiaceae;Galium	Caryophyllaceae;Cerastium; 	Boraginaceae;Myosotis; 	Plantaginaceae;Pennellianthus; 	Gentianaceae;Gentiana;
P001_WA11_00091 	Campanulaceae;Campanula; 	Campanulaceae;Campanula	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula;
P001_WA12_00047 	Asteraceae;Matricaria; 	Asteraceae;Tanacetum	Asteraceae;Anthemis; 	Asteraceae;Achillea; 	Asteraceae;Anthemis; 	Asteraceae;Artemisia;
P001_WB01_00099 	Brassicaceae;Arabis; 	Poaceae;Avenella	Poaceae;Deschampsia; 	Poaceae;Avenella; 	Poaceae;Poa; 	Poaceae;Poa;
P001_WB01_00176 	Brassicaceae;Arabis; 	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus; 	Caryophyllaceae;Dianthus; 	Ranunculaceae;Ranunculus; 	Ranunculaceae;Ranunculus;
P001_WB01_00283 	Brassicaceae;Arabis; 	Brassicaceae;Arabis	Brassicaceae;Arabis; 	Brassicaceae;Draba; 	Brassicaceae;Draba; 	Brassicaceae;Draba;
P001_WB02_00117 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P001_WB03_00105 	Cyperaceae;Eriophorum; 	Cyperaceae;Carex	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum;
P001_WB04_00046 	Betulaceae;Betula; 	Betulaceae;Betula	Betulaceae;Betula; 	Rosaceae;Dryas; 	Cyperaceae;Carex; 	Rosaceae;Dryas;
P001_WB05_00063 	Poaceae;Anthoxanthum; 	Poaceae;Anthoxanthum	Poaceae;Hierochloe; 	Poaceae;Hierochloe; 	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis;
P001_WB06_00112 	Gentianaceae;Comastoma; 	Gentianaceae;Swertia	Gentianaceae;Gentianella; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana;
P001_WB07_00068 	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis	Fabaceae;Oxytropis; 	Fabaceae;Oxytropis; 	Fabaceae;Astragalus; 	Fabaceae;Astragalus;
P001_WB08_00021 	Poaceae;Bromus; 	Poaceae;Bromus	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis;
P001_WB09_00098 	Asteraceae;Leontodon; 	Asteraceae;Cichorium	Asteraceae;Leontodon; 	Asteraceae;Hieracium; 	Asteraceae;Hieracium; 	Asteraceae;Hieracium;
P001_WB10_00087 	Poaceae;Nardus; 	Poaceae;Nardus	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis; 	Poaceae;Calamagrostis;
P001_WB11_00102 	Campanulaceae;Campanula; 	Campanulaceae;Campanula	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula;
P001_WB12_00101 	Asteraceae;Gnaphalium; 	Asteraceae;Gamochaeta	Asteraceae;Gnaphalium; 	Asteraceae;Antennaria; 	Asteraceae;Antennaria; 	Asteraceae;Antennaria;
P001_WC02_00090 	Poaceae;Deschampsia; 	Poaceae;Avenella	Poaceae;Avenella; 	Poaceae;Poa; 	Poaceae;Arctagrostis; 	Poaceae;Dupontia;
P001_WC03_00011 	Asteraceae;Erigeron; 	Asteraceae;Erigeron	Asteraceae;Erigeron; 	Asteraceae;Erigeron; 	Asteraceae;Solidago; 	Asteraceae;Aster;
