locus_tag	ftype	length_bp	gene	EC_number	COG	product
P003_WD08_00001	CDS	1443	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P003_WD08_00002	CDS	1428	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P003_WD08_00003	CDS	1497	atpB			ATP synthase CF1 beta subunit
P003_WD08_00004	CDS	402	atpE			ATP synthase CF1 epsilon subunit
P003_WD08_00005	tRNA	73				tRNA-Met(cat)
P003_WD08_00006	CDS	147				hypothetical protein
P003_WD08_00007	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P003_WD08_00008	CDS	702	ndhK			NADH-plastoquinone oxidoreductase subunit K
P003_WD08_00009	CDS	477	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P003_WD08_00010	tRNA	74				tRNA-Phe(gaa)
P003_WD08_00011	tRNA	75				tRNA-Thr(tgt)
P003_WD08_00012	CDS	606	rps4			ribosomal protein S4
P003_WD08_00013	tRNA	89				tRNA-Ser(gga)
P003_WD08_00014	CDS	249	ycf3			hypothetical chloroplast RF34
P003_WD08_00015	tRNA	74				tRNA-Asn(gtt)
P003_WD08_00016	CDS	159				hypothetical protein
P003_WD08_00017	tRNA	74				tRNA-Arg(acg)
P003_WD08_00018	CDS	198				hypothetical protein
P003_WD08_00019	rRNA	3015				23S ribosomal RNA
P003_WD08_00020	CDS	219				hypothetical protein
P003_WD08_00021	CDS	255				hypothetical protein
P003_WD08_00022	rRNA	1487				16S ribosomal RNA
P003_WD08_00023	tRNA	72				tRNA-Val(gac)
P003_WD08_00024	CDS	168				hypothetical protein
P003_WD08_00025	CDS	468	rps7			ribosomal protein S7
P003_WD08_00026	CDS	858	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P003_WD08_00027	CDS	783	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P003_WD08_00028	CDS	192				hypothetical protein
P003_WD08_00029	tRNA	84				tRNA-Leu(caa)
P003_WD08_00030	CDS	6711				hypothetical protein
P003_WD08_00031	tRNA	75				tRNA-Met(cat)
P003_WD08_00032	CDS	825	rpl2			ribosomal protein L2
P003_WD08_00033	CDS	2229	ndhF			NADH-plastoquinone oxidoreductase subunit 5
P003_WD08_00034	CDS	105				hypothetical protein
P003_WD08_00035	tRNA	80				tRNA-Leu(tag)
P003_WD08_00036	CDS	960	ccsA			cytochrome c heme attachment protein
P003_WD08_00037	CDS	1530	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P003_WD08_00038	CDS	246	psaC			photosystem I subunit VII
P003_WD08_00039	CDS	360	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P003_WD08_00040	CDS	561	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P003_WD08_00041	CDS	513	ndhI			NADH-plastoquinone oxidoreductase subunit I
P003_WD08_00042	CDS	468	ndhA_1			NADH-plastoquinone oxidoreductase subunit 1
P003_WD08_00043	CDS	567	ndhA_2			NADH-plastoquinone oxidoreductase subunit 1
P003_WD08_00044	CDS	1182	ndhH			NADH-plastoquinone oxidoreductase subunit 7
P003_WD08_00045	CDS	264	rps15			ribosomal protein S15
P003_WD08_00046	CDS	3579				hypothetical protein
P003_WD08_00047	tRNA	75				tRNA-His(gtg)
P003_WD08_00048	CDS	1062	psbA			photosystem II protein D1
P003_WD08_00049	CDS	1500	matK			maturase K
P003_WD08_00050	CDS	120				hypothetical protein
P003_WD08_00051	CDS	90				hypothetical protein
P003_WD08_00052	CDS	219				hypothetical protein
P003_WD08_00053	tRNA	72				tRNA-Gln(ttg)
P003_WD08_00054	CDS	180	psbK			photosystem II protein K
P003_WD08_00055	tRNA	88				tRNA-Ser(gct)
P003_WD08_00056	tRNA	72				tRNA-Arg(tct)
P003_WD08_00057	CDS	1524	atpA			ATP synthase CF1 alpha subunit
P003_WD08_00058	CDS	375	atpF			ATP synthase CF0 subunit I
P003_WD08_00059	CDS	255				hypothetical protein
P003_WD08_00060	CDS	246	atpH			ATP synthase CF0 subunit III
P003_WD08_00061	CDS	192				hypothetical protein
P003_WD08_00062	CDS	744	atpI			ATP synthase CF0 subunit IV
P003_WD08_00063	CDS	723	rps2			ribosomal protein S2
P003_WD08_00064	CDS	4140	rpoC2			RNA polymerase beta'' subunit
P003_WD08_00065	CDS	1428	rpoC1_1			RNA polymerase beta' subunit
P003_WD08_00066	CDS	438	rpoC1_2			RNA polymerase beta' subunit
P003_WD08_00067	CDS	3213	rpoB			RNA polymerase beta subunit
P003_WD08_00068	tRNA	72				tRNA-Cys(gca)
P003_WD08_00069	tRNA	77				tRNA-Asp(gtc)
P003_WD08_00070	tRNA	86				tRNA-Tyr(gta)
P003_WD08_00071	tRNA	75				tRNA-Glu(ttc)
P003_WD08_00072	tRNA	74				tRNA-Thr(ggt)
P003_WD08_00073	CDS	1062	psbD			photosystem II protein D2
P003_WD08_00074	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P003_WD08_00075	tRNA	93				tRNA-Ser(tga)
P003_WD08_00076	CDS	306				hypothetical protein
P003_WD08_00077	tRNA	71				tRNA-Gly(gcc)
P003_WD08_00078	tRNA	74				tRNA-Met(cat)
P003_WD08_00079	CDS	303	rps14			ribosomal protein S14
P003_WD08_00080	CDS	2205	psaB			photosystem I P700 apoprotein A2
P003_WD08_00081	CDS	2301	psaA			photosystem I P700 apoprotein A1
P003_WD08_00082	CDS	456	rpl22			ribosomal protein L22
P003_WD08_00083	CDS	657	rps3			ribosomal protein S3
P003_WD08_00084	CDS	330				hypothetical protein
P003_WD08_00085	CDS	249	rpl16			ribosomal protein L16
P003_WD08_00086	CDS	366	rpl14			ribosomal protein L14
P003_WD08_00087	CDS	405	rps8			ribosomal protein S8
P003_WD08_00088	CDS	417	rps11			ribosomal protein S11
P003_WD08_00089	CDS	999	rpoA			RNA polymerase alpha subunit
P003_WD08_00090	CDS	501	petD			cytochrome b6/f complex subunit IV
P003_WD08_00091	CDS	489	petB			cytochrome b6
P003_WD08_00092	CDS	270	psbH			photosystem II phosphoprotein
P003_WD08_00093	CDS	1455	psbB			photosystem II CP47 chlorophyll apoprotein
P003_WD08_00094	CDS	117				hypothetical protein
P003_WD08_00095	CDS	225	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P003_WD08_00096	CDS	165				hypothetical protein
P003_WD08_00097	CDS	222	clpP_2	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P003_WD08_00098	CDS	387	rpl20			ribosomal protein L20
P003_WD08_00099	CDS	306	rps18			ribosomal protein S18
P003_WD08_00100	CDS	201	rpl33			ribosomal protein L33
P003_WD08_00101	tRNA	77				tRNA-Pro(tgg)
P003_WD08_00102	tRNA	75				tRNA-Trp(cca)
P003_WD08_00103	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P003_WD08_00104	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P003_WD08_00105	CDS	123	psbJ			photosystem II protein J
P003_WD08_00106	CDS	156				hypothetical protein
P003_WD08_00107	CDS	984	petA			cytochrome f
P003_WD08_00108	CDS	690	cemA			envelope membrane protein
P003_WD08_00109	CDS	555	ycf4			photosystem I assembly protein Ycf4
