locus_tag	ftype	length_bp	gene	EC_number	COG	product
P003_WD03_00001	CDS	576	psaA			photosystem I P700 apoprotein A1
P003_WD03_00002	CDS	2205	psaB			photosystem I P700 apoprotein A2
P003_WD03_00003	CDS	303	rps14_1			ribosomal protein S14
P003_WD03_00004	tRNA	74				tRNA-Met(cat)
P003_WD03_00005	tRNA	72				tRNA-Gly(gcc)
P003_WD03_00006	CDS	417				hypothetical protein
P003_WD03_00007	tRNA	93				tRNA-Ser(tga)
P003_WD03_00008	CDS	1422	psbC			photosystem II CP43 chlorophyll apoprotein
P003_WD03_00009	CDS	1080	psbD			photosystem II protein D2
P003_WD03_00010	CDS	126				hypothetical protein
P003_WD03_00011	CDS	147				hypothetical protein
P003_WD03_00012	tRNA	74				tRNA-Thr(ggt)
P003_WD03_00013	CDS	111				hypothetical protein
P003_WD03_00014	tRNA	73				tRNA-Glu(ttc)
P003_WD03_00015	tRNA	86				tRNA-Tyr(gta)
P003_WD03_00016	tRNA	77				tRNA-Asp(gtc)
P003_WD03_00017	tRNA	71				tRNA-Cys(gca)
P003_WD03_00018	CDS	3213	rpoB			RNA polymerase beta subunit
P003_WD03_00019	CDS	438	rpoC1_1			RNA polymerase beta' subunit
P003_WD03_00020	CDS	1572	rpoC1_2			RNA polymerase beta' subunit
P003_WD03_00021	CDS	4167	rpoC2			RNA polymerase beta'' subunit
P003_WD03_00022	CDS	837	rps2			ribosomal protein S2
P003_WD03_00023	CDS	780	atpI			ATP synthase CF0 subunit IV
P003_WD03_00024	CDS	294	atpH			ATP synthase CF0 subunit III
P003_WD03_00025	CDS	162				hypothetical protein
P003_WD03_00026	CDS	375	atpF			ATP synthase CF0 subunit I
P003_WD03_00027	CDS	1524	atpA			ATP synthase CF1 alpha subunit
P003_WD03_00028	tRNA	72				tRNA-Arg(tct)
P003_WD03_00029	CDS	138				hypothetical protein
P003_WD03_00030	tRNA	88				tRNA-Ser(gct)
P003_WD03_00031	CDS	186	psbK			photosystem II protein K
P003_WD03_00032	tRNA	73				tRNA-Gln(ttg)
P003_WD03_00033	CDS	252				hypothetical protein
P003_WD03_00034	CDS	1569	matK			maturase K
P003_WD03_00035	CDS	156				hypothetical protein
P003_WD03_00036	CDS	1059	psbA			photosystem II protein D1
P003_WD03_00037	tRNA	75				tRNA-His(gtg)
P003_WD03_00038	rRNA	1309				23S ribosomal RNA (partial)
P003_WD03_00039	CDS	279	rps19			ribosomal protein S19
P003_WD03_00040	CDS	492	rpl22			ribosomal protein L22
P003_WD03_00041	CDS	663	rps3			ribosomal protein S3
P003_WD03_00042	CDS	360	rpl16			ribosomal protein L16
P003_WD03_00043	CDS	369	rpl14			ribosomal protein L14
P003_WD03_00044	CDS	405	rps8			ribosomal protein S8
P003_WD03_00045	CDS	234	infA			translational initiation factor 1
P003_WD03_00046	CDS	207				hypothetical protein
P003_WD03_00047	CDS	417	rps11			ribosomal protein S11
P003_WD03_00048	CDS	1008	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
P003_WD03_00049	CDS	459	petD			cytochrome b6/f complex subunit IV
P003_WD03_00050	CDS	183				hypothetical protein
P003_WD03_00051	CDS	489	petB_1			cytochrome b6
P003_WD03_00052	CDS	222	psbH			photosystem II phosphoprotein
P003_WD03_00053	CDS	108	psbT			photosystem II protein T
P003_WD03_00054	CDS	1419	psbB			photosystem II CP47 chlorophyll apoprotein
P003_WD03_00055	CDS	666	ndhJ_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit J, chloroplastic
P003_WD03_00056	tRNA	76				tRNA-Pro(tgg)
