locus_tag	ftype	length_bp	gene	EC_number	COG	product
P003_WC11_00001	CDS	279	rps19			ribosomal protein S19
P003_WC11_00002	CDS	468	rpl22			ribosomal protein L22
P003_WC11_00003	CDS	657	rps3			ribosomal protein S3
P003_WC11_00004	CDS	360	rpl16			ribosomal protein L16
P003_WC11_00005	CDS	369	rpl14			ribosomal protein L14
P003_WC11_00006	CDS	405	rps8			ribosomal protein S8
P003_WC11_00007	CDS	234	infA			translational initiation factor 1
P003_WC11_00008	CDS	114	rpl36			ribosomal protein L36
P003_WC11_00009	CDS	411	rps11			ribosomal protein S11
P003_WC11_00010	CDS	816	rpoA_1			RNA polymerase alpha subunit
P003_WC11_00011	CDS	216	rpoA_2	2.7.7.6		DNA-directed RNA polymerase subunit alpha
P003_WC11_00012	CDS	525	petD			cytochrome b6/f complex subunit IV
P003_WC11_00013	CDS	489	petB			cytochrome b6
P003_WC11_00014	CDS	240	psbH			photosystem II phosphoprotein
P003_WC11_00015	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P003_WC11_00016	CDS	315	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P003_WC11_00017	CDS	222	clpP_2	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P003_WC11_00018	CDS	381	rpl20			ribosomal protein L20
P003_WC11_00019	CDS	306	rps18			ribosomal protein S18
P003_WC11_00020	CDS	135	psaJ			photosystem I subunit IX
P003_WC11_00021	tRNA	76				tRNA-Pro(tgg)
P003_WC11_00022	tRNA	74				tRNA-Trp(cca)
P003_WC11_00023	CDS	192				hypothetical protein
P003_WC11_00024	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P003_WC11_00025	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P003_WC11_00026	CDS	123	psbJ			photosystem II protein J
P003_WC11_00027	CDS	204				hypothetical protein
P003_WC11_00028	CDS	963	petA			cytochrome f
P003_WC11_00029	CDS	690	cemA			envelope membrane protein
P003_WC11_00030	CDS	642	ycf4			photosystem I assembly protein Ycf4
P003_WC11_00031	CDS	1434	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P003_WC11_00032	CDS	1458	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P003_WC11_00033	CDS	1479	atpB			ATP synthase CF1 beta subunit
P003_WC11_00034	CDS	402	atpE			ATP synthase CF1 epsilon subunit
P003_WC11_00035	tRNA	73				tRNA-Met(cat)
P003_WC11_00036	CDS	177				hypothetical protein
P003_WC11_00037	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P003_WC11_00038	CDS	678	ndhK			NADH-plastoquinone oxidoreductase subunit K
P003_WC11_00039	CDS	477	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P003_WC11_00040	tRNA	74				tRNA-Phe(gaa)
P003_WC11_00041	CDS	147				hypothetical protein
P003_WC11_00042	tRNA	75				tRNA-Thr(tgt)
P003_WC11_00043	CDS	606	rps4			ribosomal protein S4
P003_WC11_00044	tRNA	89				tRNA-Ser(gga)
P003_WC11_00045	CDS	135	ycf3_1			hypothetical chloroplast RF34
P003_WC11_00046	CDS	243				hypothetical protein
P003_WC11_00047	CDS	249	ycf3_2			hypothetical chloroplast RF34
P003_WC11_00048	CDS	2253	psaA			photosystem I P700 apoprotein A1
P003_WC11_00049	CDS	2205	psaB			photosystem I P700 apoprotein A2
P003_WC11_00050	CDS	330	rps14			ribosomal protein S14
P003_WC11_00051	tRNA	74				tRNA-Met(cat)
P003_WC11_00052	tRNA	72				tRNA-Gly(gcc)
P003_WC11_00053	CDS	189	psbZ			photosystem II protein Z
P003_WC11_00054	tRNA	83				tRNA-Ser(tga)
P003_WC11_00055	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P003_WC11_00056	CDS	1062	psbD			photosystem II protein D2
P003_WC11_00057	CDS	171				hypothetical protein
P003_WC11_00058	CDS	216				hypothetical protein
P003_WC11_00059	tRNA	72				tRNA-Arg(tct)
P003_WC11_00060	CDS	1527	atpA			ATP synthase CF1 alpha subunit
P003_WC11_00061	CDS	375	atpF_1			ATP synthase CF0 subunit I
P003_WC11_00062	CDS	171	atpF_2			ATP synthase CF0 subunit I
P003_WC11_00063	CDS	246	atpH			ATP synthase CF0 subunit III
P003_WC11_00064	CDS	744	atpI			ATP synthase CF0 subunit IV
P003_WC11_00065	CDS	711	rps2			ribosomal protein S2
P003_WC11_00066	CDS	4134	rpoC2			RNA polymerase beta'' subunit
P003_WC11_00067	CDS	1497	rpoC1_1			RNA polymerase beta' subunit
P003_WC11_00068	CDS	459	rpoC1_2			RNA polymerase beta' subunit
P003_WC11_00069	CDS	3183	rpoB			RNA polymerase beta subunit
P003_WC11_00070	tRNA	72				tRNA-Glu(ttc)
P003_WC11_00071	tRNA	87				tRNA-Tyr(gta)
P003_WC11_00072	tRNA	77				tRNA-Asp(gtc)
P003_WC11_00073	CDS	159	psbM			Photosystem II reaction center protein M
P003_WC11_00074	tRNA	72				tRNA-Cys(gca)
P003_WC11_00075	tRNA	88				tRNA-Ser(gct)
P003_WC11_00076	CDS	111	psbI			Photosystem II reaction center protein I
P003_WC11_00077	CDS	180	psbK			photosystem II protein K
P003_WC11_00078	tRNA	72				tRNA-Gln(ttg)
P003_WC11_00079	CDS	114				hypothetical protein
P003_WC11_00080	CDS	192				hypothetical protein
P003_WC11_00081	CDS	1512	matK			maturase K
P003_WC11_00082	CDS	102				hypothetical protein
P003_WC11_00083	CDS	1062	psbA			photosystem II protein D1
P003_WC11_00084	tRNA	75				tRNA-His(gtg)
P003_WC11_00085	tRNA	74				tRNA-Asn(gtt)
P003_WC11_00086	CDS	111				hypothetical protein
P003_WC11_00087	tRNA	75				tRNA-Arg(acg)
P003_WC11_00088	rRNA	3004				23S ribosomal RNA
P003_WC11_00089	CDS	249				hypothetical protein
P003_WC11_00090	CDS	114				hypothetical protein
