locus_tag	ftype	length_bp	gene	EC_number	COG	product
P003_WA05_00001	CDS	279	rps19			ribosomal protein S19
P003_WA05_00002	CDS	483	rpl22			ribosomal protein L22
P003_WA05_00003	CDS	657	rps3			ribosomal protein S3
P003_WA05_00004	CDS	249	rpl16			ribosomal protein L16
P003_WA05_00005	CDS	369	rpl14			ribosomal protein L14
P003_WA05_00006	CDS	405	rps8			ribosomal protein S8
P003_WA05_00007	CDS	417	rps11			ribosomal protein S11
P003_WA05_00008	CDS	984	rpoA			RNA polymerase alpha subunit
P003_WA05_00009	CDS	525	petD			cytochrome b6/f complex subunit IV
P003_WA05_00010	CDS	489	petB			cytochrome b6
P003_WA05_00011	CDS	273	psbH			photosystem II phosphoprotein
P003_WA05_00012	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P003_WA05_00013	CDS	282	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P003_WA05_00014	CDS	192				hypothetical protein
P003_WA05_00015	CDS	327	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P003_WA05_00016	CDS	354	rpl20			ribosomal protein L20
P003_WA05_00017	CDS	282				hypothetical protein
P003_WA05_00018	CDS	306	rps18			ribosomal protein S18
P003_WA05_00019	CDS	201	rpl33			ribosomal protein L33
P003_WA05_00020	CDS	135	psaJ			photosystem I subunit IX
P003_WA05_00021	tRNA	76				tRNA-Pro(tgg)
P003_WA05_00022	tRNA	74				tRNA-Trp(cca)
P003_WA05_00023	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P003_WA05_00024	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P003_WA05_00025	CDS	963	petA			cytochrome f
P003_WA05_00026	CDS	690	cemA			envelope membrane protein
P003_WA05_00027	CDS	555	ycf4			photosystem I assembly protein Ycf4
P003_WA05_00028	CDS	210				hypothetical protein
P003_WA05_00029	CDS	1464	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P003_WA05_00030	CDS	1440	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P003_WA05_00031	CDS	1497	atpB			ATP synthase CF1 beta subunit
P003_WA05_00032	CDS	399	atpE			ATP synthase CF1 epsilon subunit
P003_WA05_00033	tRNA	73				tRNA-Met(cat)
P003_WA05_00034	CDS	282				hypothetical protein
P003_WA05_00035	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P003_WA05_00036	CDS	678	ndhK			NADH-plastoquinone oxidoreductase subunit K
P003_WA05_00037	CDS	477	ndhJ			NADH-plastoquinone oxidoreductase subunit J
