locus_tag	ftype	length_bp	gene	EC_number	COG	product
P002_WF05_00001	CDS	555	ycf4			photosystem I assembly protein Ycf4
P002_WF05_00002	CDS	690	cemA			envelope membrane protein
P002_WF05_00003	CDS	963	petA			cytochrome f
P002_WF05_00004	CDS	714	rps3_1			ribosomal protein S3
P002_WF05_00005	CDS	627	rps4			ribosomal protein S4
P002_WF05_00006	tRNA	87				tRNA-Ser(gga)
P002_WF05_00007	CDS	135	ycf3_1			hypothetical chloroplast RF34
P002_WF05_00008	CDS	291				hypothetical protein
P002_WF05_00009	CDS	249	ycf3_2			hypothetical chloroplast RF34
P002_WF05_00010	CDS	123				hypothetical protein
P002_WF05_00011	CDS	393				hypothetical protein
P002_WF05_00012	CDS	141				hypothetical protein
P002_WF05_00013	CDS	768	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WF05_00014	CDS	258				hypothetical protein
P002_WF05_00015	CDS	783				hypothetical protein
P002_WF05_00016	CDS	300				hypothetical protein
P002_WF05_00017	CDS	234				hypothetical protein
P002_WF05_00018	CDS	474				hypothetical protein
P002_WF05_00019	CDS	180				hypothetical protein
P002_WF05_00020	CDS	486	atpB_1			ATP synthase CF1 beta subunit
P002_WF05_00021	CDS	534	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P002_WF05_00022	CDS	306	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P002_WF05_00023	CDS	246	psaC			photosystem I subunit VII
P002_WF05_00024	CDS	1521	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P002_WF05_00025	CDS	963	ccsA			cytochrome c heme attachment protein
P002_WF05_00026	tRNA	80				tRNA-Leu(tag)
P002_WF05_00027	CDS	204	rpl32			ribosomal protein L32
P002_WF05_00028	CDS	3222	rpoB			RNA polymerase beta subunit
P002_WF05_00029	CDS	378				hypothetical protein
P002_WF05_00030	CDS	2058	rpoC1			RNA polymerase beta' subunit
P002_WF05_00031	CDS	4113	rpoC2			RNA polymerase beta'' subunit
P002_WF05_00032	CDS	708	rps2			ribosomal protein S2
P002_WF05_00033	CDS	744	atpI			ATP synthase CF0 subunit IV
P002_WF05_00034	CDS	315				hypothetical protein
P002_WF05_00035	CDS	246	atpH			ATP synthase CF0 subunit III
P002_WF05_00036	CDS	171	atpF_1			ATP synthase CF0 subunit I
P002_WF05_00037	CDS	288	atpF_2			ATP synthase CF0 subunit I
P002_WF05_00038	CDS	1524	atpA			ATP synthase CF1 alpha subunit
P002_WF05_00039	tRNA	72				tRNA-Arg(tct)
P002_WF05_00040	tRNA	90				tRNA-Ser(gct)
P002_WF05_00041	CDS	111	psbI			photosystem II protein I
P002_WF05_00042	CDS	225	psbK			photosystem II protein K
P002_WF05_00043	tRNA	72				tRNA-Gln(ttg)
P002_WF05_00044	CDS	2253	psaA			photosystem I P700 apoprotein A1
P002_WF05_00045	CDS	2205	psaB			photosystem I P700 apoprotein A2
P002_WF05_00046	CDS	303	rps14			ribosomal protein S14
P002_WF05_00047	tRNA	76				tRNA-Met(cat)
P002_WF05_00048	tRNA	74				tRNA-Gly(gcc)
P002_WF05_00049	CDS	213				hypothetical protein
P002_WF05_00050	tRNA	93				tRNA-Ser(tga)
P002_WF05_00051	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P002_WF05_00052	CDS	1062	psbD			photosystem II protein D2
P002_WF05_00053	CDS	267				hypothetical protein
P002_WF05_00054	tRNA	74				tRNA-Thr(ggt)
P002_WF05_00055	tRNA	75				tRNA-Thr(tgt)
P002_WF05_00056	tRNA	74				tRNA-Phe(gaa)
P002_WF05_00057	CDS	117				hypothetical protein
P002_WF05_00058	CDS	477	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P002_WF05_00059	CDS	738	ndhK			NADH-plastoquinone oxidoreductase subunit K
P002_WF05_00060	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P002_WF05_00061	CDS	117				hypothetical protein
P002_WF05_00062	CDS	1428	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P002_WF05_00063	CDS	1497	atpB_2			ATP synthase CF1 beta subunit
P002_WF05_00064	CDS	402	atpE			ATP synthase CF1 epsilon subunit
P002_WF05_00065	tRNA	73				tRNA-Met(cat)
P002_WF05_00066	CDS	207				hypothetical protein
P002_WF05_00067	tRNA	75				tRNA-Lys(ttt)
P002_WF05_00068	CDS	201				hypothetical protein
P002_WF05_00069	tRNA	76				tRNA-Val(gac)
P002_WF05_00070	rRNA	1264				23S ribosomal RNA (partial)
P002_WF05_00071	CDS	525	petD			cytochrome b6/f complex subunit IV
P002_WF05_00072	CDS	237				hypothetical protein
P002_WF05_00073	CDS	231	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WF05_00074	CDS	303				hypothetical protein
P002_WF05_00075	tRNA	74				tRNA-His(gtg)
P002_WF05_00076	CDS	1062	psbA			photosystem II protein D1
P002_WF05_00077	CDS	1521	matK			maturase K
P002_WF05_00078	CDS	387				hypothetical protein
P002_WF05_00079	CDS	303				hypothetical protein
P002_WF05_00080	CDS	219				hypothetical protein
P002_WF05_00081	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P002_WF05_00082	CDS	240	psbH			photosystem II phosphoprotein
P002_WF05_00083	CDS	489	petB			cytochrome b6
P002_WF05_00084	CDS	264				hypothetical protein
P002_WF05_00085	rRNA	1523				16S ribosomal RNA
P002_WF05_00086	CDS	216				hypothetical protein
P002_WF05_00087	CDS	105				hypothetical protein
P002_WF05_00088	CDS	249				hypothetical protein
P002_WF05_00089	rRNA	2808				23S ribosomal RNA
P002_WF05_00090	tRNA	74				tRNA-Arg(acg)
P002_WF05_00091	tRNA	74				tRNA-Asn(gtt)
P002_WF05_00092	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P002_WF05_00093	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P002_WF05_00094	CDS	96	petL			cytochrome b6/f complex subunit VI
P002_WF05_00095	CDS	144				hypothetical protein
P002_WF05_00096	CDS	114	petG			cytochrome b6/f complex subunit V
P002_WF05_00097	tRNA	74				tRNA-Trp(cca)
P002_WF05_00098	tRNA	76				tRNA-Pro(tgg)
P002_WF05_00099	CDS	141	psaJ			photosystem I subunit IX
P002_WF05_00100	CDS	342				hypothetical protein
P002_WF05_00101	CDS	339	rps18			ribosomal protein S18
P002_WF05_00102	CDS	342	rpl20			ribosomal protein L20
P002_WF05_00103	CDS	249				hypothetical protein
P002_WF05_00104	CDS	240	rpoA_1	2.7.7.6		DNA-directed RNA polymerase subunit alpha
P002_WF05_00105	CDS	162				hypothetical protein
P002_WF05_00106	tRNA	71				tRNA-Cys(gca)
P002_WF05_00107	CDS	156	psbM			Photosystem II reaction center protein M
