P001_WA02_00069 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia	Brassicaceae;Arabis; 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Bartsia;
P001_WA03_00002 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA04_00085 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P001_WA05_00073 	Poaceae;Festuca; 	Poaceae;Festuca	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WA06_00058 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA07_00070 	Asteraceae;Omalotheca; 	Asteraceae;Gamochaeta	Asteraceae;Gnaphalium; 	Poaceae;Festuca; 	Asteraceae;Leontodon; 	Asteraceae;Antennaria;
P001_WA08_00033 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA10_00093 	Rubiaceae;Cruciata; 	Rubiaceae;Galium	Rubiaceae;Galium; 	Rubiaceae;Galium; 	Asteraceae;Leontodon; 	Asteraceae;Petasites;
P001_WA11_00090 	Campanulaceae;Campanula; 	Campanulaceae;Campanula	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula;
P001_WA12_00104 	Asteraceae;Matricaria; 	Asteraceae;Tanacetum	Asteraceae;Achillea; 	Asteraceae;Anthemis; 	Asteraceae;Leucanthemum; 	Asteraceae;Artemisia;
P001_WB01_00155 	Brassicaceae;Arabis; 	Poaceae;Avenella	Poaceae;Deschampsia; 	Poaceae;Avenella; 	Poaceae;Sesleria; 	Poaceae;Hyalopoa;
P001_WB01_00239 	Brassicaceae;Arabis; 	Orobanchaceae;Euphrasia	Brassicaceae;Arabis; 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Bartsia;
P001_WB01_00370 	Brassicaceae;Arabis; 	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus; 	Caryophyllaceae;Dianthus; 	Ranunculaceae;Ranunculus; 	Ranunculaceae;Ranunculus;
P001_WB01_00477 	Brassicaceae;Arabis; 	Brassicaceae;Arabis	Brassicaceae;Arabis; 	Juncaceae;Luzula; 	Brassicaceae;Cochlearia; 	Brassicaceae;Cardamine;
P001_WB02_00023 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P001_WB03_00010 	Cyperaceae;Eriophorum; 	Cyperaceae;Carex	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum;
