P001_WA02_00017 	Orobanchaceae;Euphrasia; 	Plantaginaceae;Veronica	Brassicaceae;Arabis; 	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica; 	Orobanchaceae;Euphrasia;
P001_WA03_00081 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA05_00021 	Poaceae;Festuca; 	Poaceae;Avena	Asteraceae;Cirsium; 	Poaceae;Hierochloe; 	Poaceae;Festuca; 	Poaceae;Poa;
P001_WA08_00014 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA11_00106 	Campanulaceae;Campanula; 	Campanulaceae;Campanula	Campanulaceae;Campanula; 	Ericaceae;Bryanthus; 	Primulaceae;Primula; 	Ericaceae;Pyrola;
P001_WB01_00036 	Brassicaceae;Arabis; 	Plantaginaceae;Veronica	Brassicaceae;Arabis; 	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica; 	Orobanchaceae;Euphrasia;
P001_WB01_00179 	Brassicaceae;Arabis; 	Ranunculaceae;Ranunculus	Violaceae;Viola; 	Geraniaceae;Geranium; 	Gentianaceae;Gentiana; 	Asteraceae;Hieracium;
P001_WB01_00306 	Brassicaceae;Arabis; 	Poaceae;Avena	Asteraceae;Cirsium; 	Poaceae;Hierochloe; 	Poaceae;Festuca; 	Poaceae;Poa;
P001_WB03_00107 	Cyperaceae;Eriophorum; 	Cyperaceae;Eleocharis	Cyperaceae;Carex; 	Cyperaceae;Eriophorum; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WB07_00066 	Fabaceae;Oxytropis; 	Fabaceae;Cicer	Fabaceae;Hedysarum; 	Fabaceae;Hedysarum; 	Fabaceae;Trifolium; 	Fabaceae;Anthyllis;
P001_WB09_00103 	Asteraceae;Leontodon; 	Asteraceae;Ligularia	Asteraceae;Senecio; 	Asteraceae;Hieracium; 	Asteraceae;Saussurea; 	Asteraceae;Hieracium;
P001_WB10_00091 	Poaceae;Nardus; 	Poaceae;Oryza	Poaceae;Trisetum; 	Poaceae;Trisetum; 	Poaceae;Festuca; 	Poaceae;Poa;
P001_WB11_00105 	Campanulaceae;Campanula; 	Campanulaceae;Campanula	Ericaceae;Rhododendron; 	Ericaceae;Phyllodoce; 	Ericaceae;Pyrola; 	Ericaceae;Pyrola;
P001_WC02_00088 	Poaceae;Deschampsia; 	Poaceae;Avena	Asteraceae;Cirsium; 	Poaceae;Hierochloe; 	Poaceae;Festuca; 	Poaceae;Poa;
P001_WC04_00047 	Cupressaceae;Juniperus; 	Cupressaceae;Chamaecyparis	Cupressaceae;Juniperus; 	Asteraceae;Leucanthemopsis; 	Asteraceae;Leontodon; 	Asteraceae;Senecio;
P001_WC06_00022 	Gentianaceae;Gentiana; 	Gentianaceae;Gentiana	Brassicaceae;Arabis; 	Orobanchaceae;Euphrasia; 	Violaceae;Viola; 	Geraniaceae;Geranium;
P001_WC08_00026 	Apiaceae;Bupleurum; 	Apiaceae;Bupleurum	Apiaceae;Carum; 	Apiaceae;Chaerophyllum; 	Rosaceae;Potentilla; 	Cyperaceae;Carex;
P001_WC09_00026 	Lamiaceae;Betonica; 	Lamiaceae;Stenogyne	Orobanchaceae;Euphrasia; 	Brassicaceae;Arabis; 	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica;
P001_WC12_00052 	Cyperaceae;Carex; 	Cyperaceae;Eleocharis	Cyperaceae;Carex; 	Cyperaceae;Eriophorum; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WD02_00082 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Micranthes	Saxifragaceae;Saxifraga; 	Brassicaceae;Draba; 	Orobanchaceae;Euphrasia; 	Asteraceae;Senecio;
P001_WD05_00080 	Poaceae;Avenella; 	Poaceae;Avena	Asteraceae;Cirsium; 	Poaceae;Hierochloe; 	Poaceae;Festuca; 	Poaceae;Poa;
P001_WD08_00106 	Caryophyllaceae;Cerastium; 	Caryophyllaceae;Silene	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Silene; 	Caryophyllaceae;Sagina; 	Caryophyllaceae;Silene;
P001_WD11_00049 	Crassulaceae;Sedum; 	Asteraceae;Taraxacum	Asteraceae;Taraxacum; 	Cyperaceae;Carex; 	Asteraceae;Saussurea; 	Asteraceae;Hieracium;
P001_WD11_00087 	Crassulaceae;Sedum; 	Crassulaceae;Rosularia	Ericaceae;Bryanthus; 	Primulaceae;Primula; 	Orobanchaceae;Euphrasia; 	Ericaceae;Pyrola;
P001_WD12_00016 	Asteraceae;Taraxacum; 	Asteraceae;Taraxacum	Asteraceae;Taraxacum; 	Cyperaceae;Carex; 	Asteraceae;Saussurea; 	Asteraceae;Hieracium;
P001_WE01_00074 	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Silene	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Silene; 	Caryophyllaceae;Sagina; 	Caryophyllaceae;Silene;
P001_WE02_00034 	Cyperaceae;Kobresia; 	Cyperaceae;Eleocharis	Cyperaceae;Carex; 	Cyperaceae;Eriophorum; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WE04_00073 	Tofieldiaceae;Tofieldia; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WE06_00119 	Poaceae;Phleum; 	Poaceae;Avena	Asteraceae;Cirsium; 	Poaceae;Hierochloe; 	Poaceae;Festuca; 	Poaceae;Poa;
P001_WE07_00104 	Juncaceae;Luzula; 	Cyperaceae;Eleocharis	Juncaceae;Luzula; 	Juncaceae;Luzula; 	Cyperaceae;Carex; 	Juncaceae;Luzula;
P001_WE08_00023 	Caprifoliaceae;Scabiosa; 	Caprifoliaceae;Dipsacus	Plantaginaceae;Veronica; 	Plantaginaceae;Veronica; 	Saxifragaceae;Saxifraga; 	Brassicaceae;Draba;
P001_WE12_00027 	Cyperaceae;Carex; 	Cyperaceae;Eleocharis	Cyperaceae;Carex; 	Cyperaceae;Eriophorum; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WE12_00103 	Cyperaceae;Carex; 	Poaceae;Avena	Asteraceae;Cirsium; 	Poaceae;Hierochloe; 	Poaceae;Festuca; 	Poaceae;Poa;
P001_WE12_00107 	Cyperaceae;Carex; 	Geraniaceae;Geranium	Geraniaceae;Geranium; 	Geraniaceae;Geranium; 	Asteraceae;Hieracium; 	Ericaceae;Pyrola;
P001_WE12_00334 	Cyperaceae;Carex; 	Asteraceae;Taraxacum	Asteraceae;Taraxacum; 	Cyperaceae;Carex; 	Asteraceae;Saussurea; 	Asteraceae;Hieracium;
P001_WF02_00118 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WF04_00023 	Caryophyllaceae;Silene; 	Caryophyllaceae;Silene	Caryophyllaceae;Minuartia; 	Caryophyllaceae;Silene; 	Caryophyllaceae;Sagina; 	Caryophyllaceae;Silene;
P001_WF05_00072 	Asteraceae;Antennaria; 	Asteraceae;Helianthus	Asteraceae;Antennaria; 	Asteraceae;Hieracium; 	Asteraceae;Saussurea; 	Asteraceae;Hieracium;
P001_WF10_00083 	Fabaceae;Anthyllis; 	Fabaceae;Lotus	Fabaceae;Oxytropis; 	Asteraceae;Senecio; 	Fabaceae;Hedysarum; 	Fabaceae;Trifolium;
