locus_tag	ftype	length_bp	gene	EC_number	COG	product
P003_WE08_00001	CDS	4170				hypothetical protein
P003_WE08_00002	CDS	273	rps15			ribosomal protein S15
P003_WE08_00003	CDS	1182	ndhH			NADH-plastoquinone oxidoreductase subunit 7
P003_WE08_00004	CDS	567	ndhA			NADH-plastoquinone oxidoreductase subunit 1
P003_WE08_00005	CDS	507	ndhI			NADH-plastoquinone oxidoreductase subunit I
P003_WE08_00006	CDS	537	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P003_WE08_00007	CDS	303	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P003_WE08_00008	CDS	246	psaC			photosystem I subunit VII
P003_WE08_00009	CDS	1530	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P003_WE08_00010	CDS	960	ccsA			cytochrome c heme attachment protein
P003_WE08_00011	tRNA	80				tRNA-Leu(tag)
P003_WE08_00012	CDS	2244	ndhF			NADH-plastoquinone oxidoreductase subunit 5
P003_WE08_00013	CDS	279	rps19			ribosomal protein S19
P003_WE08_00014	CDS	495	rpl22			ribosomal protein L22
P003_WE08_00015	CDS	663	rps3			ribosomal protein S3
P003_WE08_00016	CDS	360	rpl16			ribosomal protein L16
P003_WE08_00017	CDS	369	rpl14			ribosomal protein L14
P003_WE08_00018	CDS	405	rps8			ribosomal protein S8
P003_WE08_00019	CDS	234	infA			translational initiation factor 1
P003_WE08_00020	CDS	417	rps11			ribosomal protein S11
P003_WE08_00021	CDS	1014	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
P003_WE08_00022	CDS	459	petD			cytochrome b6/f complex subunit IV
P003_WE08_00023	CDS	489	petB			cytochrome b6
P003_WE08_00024	CDS	225	psbH			photosystem II phosphoprotein
P003_WE08_00025	CDS	282				hypothetical protein
P003_WE08_00026	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P003_WE08_00027	CDS	333				hypothetical protein
P003_WE08_00028	CDS	225	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P003_WE08_00029	CDS	381	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P003_WE08_00030	CDS	387	rpl20			ribosomal protein L20
P003_WE08_00031	CDS	258				hypothetical protein
P003_WE08_00032	CDS	306	rps18			ribosomal protein S18
P003_WE08_00033	CDS	201	rpl33			ribosomal protein L33
P003_WE08_00034	CDS	222				hypothetical protein
P003_WE08_00035	CDS	135	psaJ			photosystem I subunit IX
P003_WE08_00036	tRNA	76				tRNA-Pro(tgg)
P003_WE08_00037	tRNA	74				tRNA-Trp(cca)
P003_WE08_00038	CDS	114	petG			cytochrome b6/f complex subunit V
P003_WE08_00039	CDS	96	petL			cytochrome b6/f complex subunit VI
P003_WE08_00040	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P003_WE08_00041	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P003_WE08_00042	CDS	123	psbJ			photosystem II protein J
P003_WE08_00043	CDS	963	petA			cytochrome f
P003_WE08_00044	CDS	690	cemA			envelope membrane protein
P003_WE08_00045	CDS	555	ycf4			photosystem I assembly protein Ycf4
P003_WE08_00046	CDS	222				hypothetical protein
P003_WE08_00047	CDS	111	psaI			photosystem I subunit VIII
P003_WE08_00048	CDS	1542	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P003_WE08_00049	CDS	177				hypothetical protein
P003_WE08_00050	CDS	1434	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P003_WE08_00051	CDS	1497	atpB			ATP synthase CF1 beta subunit
P003_WE08_00052	CDS	402	atpE			ATP synthase CF1 epsilon subunit
P003_WE08_00053	tRNA	73				tRNA-Met(cat)
P003_WE08_00054	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P003_WE08_00055	CDS	732	ndhK			NADH-plastoquinone oxidoreductase subunit K
P003_WE08_00056	CDS	477	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P003_WE08_00057	tRNA	74				tRNA-Phe(gaa)
P003_WE08_00058	tRNA	75				tRNA-Thr(tgt)
P003_WE08_00059	CDS	606	rps4			ribosomal protein S4
P003_WE08_00060	tRNA	87				tRNA-Ser(gga)
P003_WE08_00061	CDS	135	ycf3_1			hypothetical chloroplast RF34
P003_WE08_00062	CDS	249				hypothetical protein
P003_WE08_00063	CDS	249	ycf3_2			hypothetical chloroplast RF34
P003_WE08_00064	CDS	168				hypothetical protein
P003_WE08_00065	CDS	2253	psaA			photosystem I P700 apoprotein A1
P003_WE08_00066	CDS	2205	psaB			photosystem I P700 apoprotein A2
P003_WE08_00067	CDS	303	rps14			ribosomal protein S14
P003_WE08_00068	tRNA	75				tRNA-Met(cat)
P003_WE08_00069	tRNA	72				tRNA-Gly(gcc)
P003_WE08_00070	CDS	258				hypothetical protein
P003_WE08_00071	tRNA	93				tRNA-Ser(tga)
P003_WE08_00072	CDS	1050	psbC			photosystem II CP43 chlorophyll apoprotein
P003_WE08_00073	CDS	216				hypothetical protein
P003_WE08_00074	tRNA	74				tRNA-Asn(gtt)
P003_WE08_00075	CDS	201				hypothetical protein
P003_WE08_00076	tRNA	75				tRNA-Arg(acg)
P003_WE08_00077	rRNA	3012				23S ribosomal RNA
P003_WE08_00078	CDS	105				hypothetical protein
P003_WE08_00079	CDS	264				hypothetical protein
P003_WE08_00080	rRNA	1487				16S ribosomal RNA
P003_WE08_00081	tRNA	72				tRNA-Val(gac)
P003_WE08_00082	CDS	243				hypothetical protein
P003_WE08_00083	CDS	195				hypothetical protein
P003_WE08_00084	CDS	279	rps12			ribosomal protein S12
P003_WE08_00085	CDS	468	rps7			ribosomal protein S7
P003_WE08_00086	CDS	183				hypothetical protein
P003_WE08_00087	CDS	858	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P003_WE08_00088	CDS	783	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P003_WE08_00089	CDS	171				hypothetical protein
P003_WE08_00090	tRNA	83				tRNA-Leu(caa)
P003_WE08_00091	CDS	327				hypothetical protein
P003_WE08_00092	CDS	6846				hypothetical protein
P003_WE08_00093	tRNA	75				tRNA-Met(cat)
P003_WE08_00094	CDS	282	rpl23			ribosomal protein L23
P003_WE08_00095	CDS	402	rpl2_1			ribosomal protein L2
P003_WE08_00096	CDS	429	rpl2_2			ribosomal protein L2
P003_WE08_00097	CDS	1062	psbD			photosystem II protein D2
P003_WE08_00098	CDS	150				hypothetical protein
P003_WE08_00099	tRNA	74				tRNA-Thr(ggt)
P003_WE08_00100	CDS	150				hypothetical protein
P003_WE08_00101	tRNA	73				tRNA-Glu(ttc)
P003_WE08_00102	tRNA	86				tRNA-Tyr(gta)
P003_WE08_00103	tRNA	77				tRNA-Asp(gtc)
P003_WE08_00104	CDS	204				hypothetical protein
P003_WE08_00105	tRNA	72				tRNA-Cys(gca)
P003_WE08_00106	CDS	3228	rpoB			RNA polymerase beta subunit
P003_WE08_00107	CDS	459	rpoC1_1			RNA polymerase beta' subunit
P003_WE08_00108	CDS	105				hypothetical protein
