locus_tag	ftype	length_bp	gene	EC_number	COG	product
P002_WE03_00001	CDS	5367				hypothetical protein
P002_WE03_00002	CDS	273	rps15			ribosomal protein S15
P002_WE03_00003	CDS	1182	ndhH			NADH-plastoquinone oxidoreductase subunit 7
P002_WE03_00004	CDS	624	ndhA			NADH-plastoquinone oxidoreductase subunit 1
P002_WE03_00005	CDS	543	ndhI			NADH-plastoquinone oxidoreductase subunit I
P002_WE03_00006	CDS	567	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P002_WE03_00007	CDS	306	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P002_WE03_00008	CDS	270	psaC			photosystem I subunit VII
P002_WE03_00009	CDS	1527	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P002_WE03_00010	CDS	972	ccsA			cytochrome c heme attachment protein
P002_WE03_00011	tRNA	80				tRNA-Leu(tag)
P002_WE03_00012	CDS	2223	ndhF			NADH-plastoquinone oxidoreductase subunit 5
P002_WE03_00013	tRNA	75				tRNA-His(gtg)
P002_WE03_00014	CDS	1062	psbA			photosystem II protein D1
P002_WE03_00015	CDS	1524	matK			maturase K
P002_WE03_00016	tRNA	72				tRNA-Gln(ttg)
P002_WE03_00017	CDS	141				hypothetical protein
P002_WE03_00018	CDS	186	psbK			photosystem II protein K
P002_WE03_00019	tRNA	90				tRNA-Ser(gct)
P002_WE03_00020	tRNA	72				tRNA-Arg(tct)
P002_WE03_00021	CDS	1524	atpA			ATP synthase CF1 alpha subunit
P002_WE03_00022	CDS	372	atpF_1			ATP synthase CF0 subunit I
P002_WE03_00023	CDS	171	atpF_2			ATP synthase CF0 subunit I
P002_WE03_00024	CDS	321	atpH			ATP synthase subunit c
P002_WE03_00025	CDS	744	atpI			ATP synthase CF0 subunit IV
P002_WE03_00026	CDS	711	rps2			ribosomal protein S2
P002_WE03_00027	CDS	4152	rpoC2			RNA polymerase beta'' subunit
P002_WE03_00028	CDS	1647	rpoC1_1			RNA polymerase beta' subunit
P002_WE03_00029	CDS	438	rpoC1_2			RNA polymerase beta' subunit
P002_WE03_00030	CDS	3246	rpoB			RNA polymerase beta subunit
P002_WE03_00031	tRNA	71				tRNA-Cys(gca)
P002_WE03_00032	CDS	186				hypothetical protein
P002_WE03_00033	CDS	123				hypothetical protein
P002_WE03_00034	tRNA	78				tRNA-Asp(gtc)
P002_WE03_00035	tRNA	86				tRNA-Tyr(gta)
P002_WE03_00036	tRNA	75				tRNA-Glu(ttc)
P002_WE03_00037	tRNA	74				tRNA-Thr(ggt)
P002_WE03_00038	CDS	255				hypothetical protein
P002_WE03_00039	CDS	1062	psbD			photosystem II protein D2
P002_WE03_00040	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P002_WE03_00041	tRNA	93				tRNA-Ser(tga)
P002_WE03_00042	CDS	540				hypothetical protein
P002_WE03_00043	tRNA	71				tRNA-Gly(gcc)
P002_WE03_00044	tRNA	74				tRNA-Met(cat)
P002_WE03_00045	CDS	213				hypothetical protein
P002_WE03_00046	CDS	2205	psaB			photosystem I P700 apoprotein A2
P002_WE03_00047	CDS	2340	psaA			photosystem I P700 apoprotein A1
P002_WE03_00048	CDS	249	ycf3			hypothetical chloroplast RF34
P002_WE03_00049	tRNA	87				tRNA-Ser(gga)
P002_WE03_00050	CDS	606	rps4			ribosomal protein S4
P002_WE03_00051	tRNA	75				tRNA-Thr(tgt)
P002_WE03_00052	CDS	177				hypothetical protein
P002_WE03_00053	CDS	312				hypothetical protein
P002_WE03_00054	tRNA	73				tRNA-Phe(gaa)
P002_WE03_00055	CDS	477	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P002_WE03_00056	CDS	684	ndhK			NADH-plastoquinone oxidoreductase subunit K
P002_WE03_00057	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P002_WE03_00058	tRNA	73				tRNA-Met(cat)
P002_WE03_00059	CDS	399	atpE			ATP synthase CF1 epsilon subunit
P002_WE03_00060	CDS	1500	atpB			ATP synthase CF1 beta subunit
P002_WE03_00061	CDS	276				hypothetical protein
P002_WE03_00062	CDS	1428	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P002_WE03_00063	CDS	246				hypothetical protein
P002_WE03_00064	CDS	1494	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P002_WE03_00065	CDS	555	ycf4			photosystem I assembly protein Ycf4
P002_WE03_00066	CDS	765	cemA			envelope membrane protein
P002_WE03_00067	CDS	969	petA			cytochrome f
P002_WE03_00068	CDS	123	psbJ			photosystem II protein J
P002_WE03_00069	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P002_WE03_00070	CDS	156				hypothetical protein
P002_WE03_00071	tRNA	75				tRNA-Trp(cca)
P002_WE03_00072	tRNA	74				tRNA-Pro(tgg)
P002_WE03_00073	CDS	135	psaJ			photosystem I subunit IX
P002_WE03_00074	CDS	306	rps18			ribosomal protein S18
P002_WE03_00075	CDS	360	rpl20			ribosomal protein L20
P002_WE03_00076	CDS	240	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P002_WE03_00077	CDS	96				hypothetical protein
P002_WE03_00078	CDS	285	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WE03_00079	CDS	252				hypothetical protein
P002_WE03_00080	CDS	237				hypothetical protein
P002_WE03_00081	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P002_WE03_00082	CDS	222	psbH			photosystem II phosphoprotein
P002_WE03_00083	CDS	222				hypothetical protein
P002_WE03_00084	CDS	489	petB			cytochrome b6
P002_WE03_00085	CDS	198				hypothetical protein
P002_WE03_00086	CDS	552	petD			cytochrome b6/f complex subunit IV
P002_WE03_00087	CDS	1041	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
P002_WE03_00088	CDS	417	rps11			ribosomal protein S11
P002_WE03_00089	CDS	399	rps8			ribosomal protein S8
P002_WE03_00090	CDS	369	rpl14			ribosomal protein L14
P002_WE03_00091	CDS	360	rpl16			ribosomal protein L16
P002_WE03_00092	CDS	654	rps3			ribosomal protein S3
P002_WE03_00093	CDS	540				hypothetical protein
P002_WE03_00094	CDS	279	rps19			ribosomal protein S19
P002_WE03_00095	CDS	222				hypothetical protein
P002_WE03_00096	CDS	174				hypothetical protein
P002_WE03_00097	tRNA	74				tRNA-Asn(gtt)
P002_WE03_00098	tRNA	75				tRNA-Arg(acg)
P002_WE03_00099	rRNA	3011				23S ribosomal RNA
P002_WE03_00100	CDS	249				hypothetical protein
P002_WE03_00101	CDS	105				hypothetical protein
P002_WE03_00102	CDS	150				hypothetical protein
P002_WE03_00103	rRNA	1487				16S ribosomal RNA
P002_WE03_00104	tRNA	72				tRNA-Val(gac)
P002_WE03_00105	CDS	513				hypothetical protein
P002_WE03_00106	CDS	195				hypothetical protein
P002_WE03_00107	CDS	171				hypothetical protein
P002_WE03_00108	CDS	468	rps7			ribosomal protein S7
P002_WE03_00109	CDS	741	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P002_WE03_00110	CDS	783	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P002_WE03_00111	tRNA	83				tRNA-Leu(caa)
P002_WE03_00112	CDS	6876				hypothetical protein
P002_WE03_00113	tRNA	74				tRNA-Met(cat)
P002_WE03_00114	CDS	282	rpl23			ribosomal protein L23
P002_WE03_00115	CDS	339	rpl2_1			ribosomal protein L2
P002_WE03_00116	CDS	117				hypothetical protein
P002_WE03_00117	CDS	429	rpl2_2			ribosomal protein L2
P002_WE03_00118	rRNA	445				16S ribosomal RNA (partial)
P002_WE03_00119	rRNA	1117				16S ribosomal RNA (partial)
