locus_tag	ftype	length_bp	gene	EC_number	COG	product
P002_WB09_00001	CDS	792	psbA			photosystem II protein D1
P002_WB09_00002	tRNA	75				tRNA-His(gtg)
P002_WB09_00003	CDS	3762				hypothetical protein
P002_WB09_00004	CDS	273	rps15			ribosomal protein S15
P002_WB09_00005	CDS	1182	ndhH			NADH-plastoquinone oxidoreductase subunit 7
P002_WB09_00006	CDS	567	ndhA_1			NADH-plastoquinone oxidoreductase subunit 1
P002_WB09_00007	CDS	243				hypothetical protein
P002_WB09_00008	CDS	492	ndhA_2			NADH-plastoquinone oxidoreductase subunit 1
P002_WB09_00009	CDS	531	ndhI			NADH-plastoquinone oxidoreductase subunit I
P002_WB09_00010	CDS	576	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P002_WB09_00011	CDS	303	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P002_WB09_00012	CDS	246	psaC			photosystem I subunit VII
P002_WB09_00013	CDS	1521	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P002_WB09_00014	CDS	996	ccsA			cytochrome c heme attachment protein
P002_WB09_00015	tRNA	80				tRNA-Leu(tag)
P002_WB09_00016	CDS	2274	ndhF			NADH-plastoquinone oxidoreductase subunit 5
P002_WB09_00017	CDS	315	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WB09_00018	CDS	282	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WB09_00019	CDS	354	rpl20			ribosomal protein L20
P002_WB09_00020	CDS	306	rps18			ribosomal protein S18
P002_WB09_00021	CDS	177				hypothetical protein
P002_WB09_00022	CDS	231	psaJ			Photosystem I reaction center subunit IX
P002_WB09_00023	tRNA	75				tRNA-Pro(tgg)
P002_WB09_00024	tRNA	74				tRNA-Trp(cca)
P002_WB09_00025	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P002_WB09_00026	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P002_WB09_00027	CDS	123	psbJ			photosystem II protein J
P002_WB09_00028	CDS	183				hypothetical protein
P002_WB09_00029	CDS	963	petA			cytochrome f
P002_WB09_00030	CDS	687	cemA			envelope membrane protein
P002_WB09_00031	CDS	555	ycf4			photosystem I assembly protein Ycf4
P002_WB09_00032	CDS	147				hypothetical protein
P002_WB09_00033	CDS	1497	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P002_WB09_00034	CDS	240				hypothetical protein
P002_WB09_00035	CDS	1437	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P002_WB09_00036	CDS	1497	atpB			ATP synthase CF1 beta subunit
P002_WB09_00037	CDS	402	atpE			ATP synthase CF1 epsilon subunit
P002_WB09_00038	tRNA	73				tRNA-Met(cat)
P002_WB09_00039	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P002_WB09_00040	CDS	678	ndhK			NADH-plastoquinone oxidoreductase subunit K
P002_WB09_00041	CDS	480	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P002_WB09_00042	tRNA	74				tRNA-Phe(gaa)
P002_WB09_00043	tRNA	75				tRNA-Thr(tgt)
P002_WB09_00044	CDS	606	rps4			ribosomal protein S4
P002_WB09_00045	tRNA	88				tRNA-Ser(gga)
P002_WB09_00046	CDS	135	ycf3_1			hypothetical chloroplast RF34
P002_WB09_00047	CDS	183				hypothetical protein
P002_WB09_00048	CDS	249	ycf3_2			hypothetical chloroplast RF34
P002_WB09_00049	CDS	2253	psaA			photosystem I P700 apoprotein A1
P002_WB09_00050	CDS	2205	psaB			photosystem I P700 apoprotein A2
P002_WB09_00051	CDS	303	rps14			ribosomal protein S14
P002_WB09_00052	tRNA	75				tRNA-Met(cat)
P002_WB09_00053	tRNA	72				tRNA-Gly(gcc)
P002_WB09_00054	CDS	276				hypothetical protein
P002_WB09_00055	tRNA	90				tRNA-Ser(tga)
P002_WB09_00056	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P002_WB09_00057	CDS	249	psbD			photosystem II protein D2
P002_WB09_00058	rRNA	439				16S ribosomal RNA (partial)
P002_WB09_00059	CDS	294				hypothetical protein
P002_WB09_00060	CDS	279	rps19			ribosomal protein S19
P002_WB09_00061	CDS	429	rpl2_1			ribosomal protein L2
P002_WB09_00062	CDS	162				hypothetical protein
P002_WB09_00063	CDS	408	rpl2_2			ribosomal protein L2
P002_WB09_00064	CDS	282	rpl23			ribosomal protein L23
P002_WB09_00065	tRNA	75				tRNA-Met(cat)
P002_WB09_00066	CDS	6858				hypothetical protein
P002_WB09_00067	tRNA	83				tRNA-Leu(caa)
P002_WB09_00068	CDS	783	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P002_WB09_00069	CDS	858	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P002_WB09_00070	CDS	240	rps7			ribosomal protein S7
P002_WB09_00071	CDS	153				hypothetical protein
P002_WB09_00072	CDS	126				hypothetical protein
P002_WB09_00073	CDS	138				hypothetical protein
P002_WB09_00074	tRNA	72				tRNA-Val(gac)
P002_WB09_00075	rRNA	1487				16S ribosomal RNA
P002_WB09_00076	CDS	105				hypothetical protein
P002_WB09_00077	rRNA	3010				23S ribosomal RNA
P002_WB09_00078	tRNA	75				tRNA-Arg(acg)
P002_WB09_00079	tRNA	74				tRNA-Asn(gtt)
P002_WB09_00080	CDS	399	rpl22			ribosomal protein L22
P002_WB09_00081	CDS	657	rps3			ribosomal protein S3
P002_WB09_00082	CDS	111				hypothetical protein
P002_WB09_00083	CDS	360	rpl16			ribosomal protein L16
P002_WB09_00084	CDS	312	rpl14			ribosomal protein L14
P002_WB09_00085	CDS	405	rps8			ribosomal protein S8
P002_WB09_00086	CDS	417	rps11			ribosomal protein S11
P002_WB09_00087	CDS	1020	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
P002_WB09_00088	CDS	540	petD			cytochrome b6/f complex subunit IV
P002_WB09_00089	CDS	489	petB			cytochrome b6
P002_WB09_00090	CDS	222	psbH			photosystem II phosphoprotein
P002_WB09_00091	CDS	1182	psbB			photosystem II CP47 chlorophyll apoprotein
P002_WB09_00092	tRNA	73				tRNA-Met(cat)
P002_WB09_00093	tRNA	74				tRNA-Thr(ggt)
P002_WB09_00094	tRNA	75				tRNA-Glu(ttc)
P002_WB09_00095	tRNA	86				tRNA-Tyr(gta)
P002_WB09_00096	tRNA	77				tRNA-Asp(gtc)
P002_WB09_00097	CDS	105	psbM			photosystem II protein M
P002_WB09_00098	tRNA	71				tRNA-Cys(gca)
P002_WB09_00099	CDS	3345	rpoB			RNA polymerase beta subunit
P002_WB09_00100	CDS	459	rpoC1_1			RNA polymerase beta' subunit
P002_WB09_00101	CDS	1308	rpoC1_2			RNA polymerase beta' subunit
P002_WB09_00102	CDS	4179	rpoC2			RNA polymerase beta'' subunit
