P001_WB01_00251 	Brassicaceae;Arabis	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Caryophyllaceae;Dianthus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus
P001_WB01_00345 	Brassicaceae;Arabis	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia	Orobanchaceae;Bartsia
P001_WB01_00425 	Brassicaceae;Arabis	Brassicaceae;Arabis	Asteraceae;Taraxacum	Brassicaceae;Draba	Papaveraceae;Papaver	Brassicaceae;Draba
P001_WB01_00460 	Brassicaceae;Arabis	Poaceae;Avenella	Poaceae;Deschampsia	Poaceae;Avenella	Poaceae;Hyalopoa	Poaceae;Arctagrostis
P001_WB02_00001 	Salicaceae;Salix	Poaceae;Avenella	Salicaceae;Salix	Poaceae;Deschampsia	Poaceae;Avenella	Poaceae;Poa
P001_WB02_00107 	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix
P001_WD08_00008 	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium	Cyperaceae;Carex	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium
P001_WD08_00233 	Caryophyllaceae;Cerastium	Boraginaceae;Lithospermum	Boraginaceae;Myosotis	Caprifoliaceae;Patrinia	Ericaceae;Phyllodoce	Ericaceae;Empetrum
P001_WD11_00115 	Crassulaceae;Sedum	Crassulaceae;Rosularia	Crassulaceae;Sempervivum	Crassulaceae;Sedum	Crassulaceae;Rhodiola	Saxifragaceae;Saxifraga
P001_WD11_00133 	Crassulaceae;Sedum	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Cyperaceae;Carex	Asteraceae;Taraxacum	Asteraceae;Taraxacum
P001_WE04_00033 	Tofieldiaceae;Tofieldia	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex
P001_WE04_00058 	Tofieldiaceae;Tofieldia	Tofieldiaceae;Tofieldia	Orchidaceae;Coeloglossum	Ranunculaceae;Trollius	Ranunculaceae;Aconitum	Cyperaceae;Carex
P001_WE04_00059 	Tofieldiaceae;Tofieldia	Tofieldiaceae;Tofieldia	Ranunculaceae;Trollius	Ranunculaceae;Thalictrum	Cyperaceae;Carex	Ranunculaceae;Pulsatilla
P001_WE12_00003 	Cyperaceae;Carex	Asteraceae;Taraxacum	Cyperaceae;Carex	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Asteraceae;Taraxacum
P001_WE12_00227 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Kobresia	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex
P001_WE12_00372 	Cyperaceae;Carex	Geraniaceae;Geranium	Geraniaceae;Geranium	Geraniaceae;Geranium	Rosaceae;Rubus	Betulaceae;Betula
