locus_tag	ftype	length_bp	gene	EC_number	COG	product
P003_WC02_00001	CDS	249	ycf3_1			hypothetical chloroplast RF34
P003_WC02_00002	CDS	222				hypothetical protein
P003_WC02_00003	CDS	135	ycf3_2			hypothetical chloroplast RF34
P003_WC02_00004	tRNA	87				tRNA-Ser(gga)
P003_WC02_00005	CDS	627	rps4			ribosomal protein S4
P003_WC02_00006	tRNA	75				tRNA-Thr(tgt)
P003_WC02_00007	tRNA	74				tRNA-Phe(gaa)
P003_WC02_00008	CDS	117				hypothetical protein
P003_WC02_00009	CDS	477	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P003_WC02_00010	CDS	690	ndhK			NADH-plastoquinone oxidoreductase subunit K
P003_WC02_00011	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P003_WC02_00012	CDS	147				hypothetical protein
P003_WC02_00013	CDS	1428	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P003_WC02_00014	CDS	1497	atpB_1			ATP synthase CF1 beta subunit
P003_WC02_00015	CDS	402	atpE			ATP synthase CF1 epsilon subunit
P003_WC02_00016	tRNA	73				tRNA-Met(cat)
P003_WC02_00017	CDS	231				hypothetical protein
P003_WC02_00018	CDS	279				hypothetical protein
P003_WC02_00019	CDS	222	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
P003_WC02_00020	CDS	273				hypothetical protein
P003_WC02_00021	CDS	555	ycf4			photosystem I assembly protein Ycf4
P003_WC02_00022	CDS	690	cemA			envelope membrane protein
P003_WC02_00023	CDS	963	petA			cytochrome f
P003_WC02_00024	CDS	204	rpl32			ribosomal protein L32
P003_WC02_00025	tRNA	80				tRNA-Leu(tag)
P003_WC02_00026	CDS	963	ccsA			cytochrome c heme attachment protein
P003_WC02_00027	CDS	1521	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P003_WC02_00028	CDS	246	psaC			photosystem I subunit VII
P003_WC02_00029	CDS	306	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P003_WC02_00030	CDS	534	ndhG			NADH-plastoquinone oxidoreductase subunit 6
P003_WC02_00031	CDS	300				hypothetical protein
P003_WC02_00032	CDS	264				hypothetical protein
P003_WC02_00033	rRNA	1487				16S ribosomal RNA
P003_WC02_00034	CDS	216				hypothetical protein
P003_WC02_00035	CDS	105				hypothetical protein
P003_WC02_00036	CDS	249				hypothetical protein
P003_WC02_00037	rRNA	2811				23S ribosomal RNA
P003_WC02_00038	tRNA	74				tRNA-Arg(acg)
P003_WC02_00039	tRNA	74				tRNA-Asn(gtt)
P003_WC02_00040	CDS	1182	ndhH			NADH-plastoquinone oxidoreductase subunit 7
P003_WC02_00041	CDS	567	ndhA_1			NADH-plastoquinone oxidoreductase subunit 1
P003_WC02_00042	CDS	471	ndhA_2			NADH-plastoquinone oxidoreductase subunit 1
P003_WC02_00043	CDS	249				hypothetical protein
P003_WC02_00044	CDS	303				hypothetical protein
P003_WC02_00045	CDS	105				hypothetical protein
P003_WC02_00046	CDS	468	rps7			ribosomal protein S7
P003_WC02_00047	CDS	243				hypothetical protein
P003_WC02_00048	CDS	858	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P003_WC02_00049	CDS	822	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P003_WC02_00050	tRNA	83				tRNA-Leu(caa)
P003_WC02_00051	CDS	420				hypothetical protein
P003_WC02_00052	CDS	144				hypothetical protein
P003_WC02_00053	CDS	123				hypothetical protein
P003_WC02_00054	CDS	273				hypothetical protein
P003_WC02_00055	CDS	207				hypothetical protein
