locus_tag	ftype	length_bp	gene	EC_number	COG	product
P002_WA10_00001	CDS	219				hypothetical protein
P002_WA10_00002	CDS	1527	psbB			photosystem II CP47 chlorophyll apoprotein
P002_WA10_00003	CDS	222	psbH			photosystem II phosphoprotein
P002_WA10_00004	CDS	489	petB			cytochrome b6
P002_WA10_00005	CDS	525	petD			cytochrome b6/f complex subunit IV
P002_WA10_00006	CDS	231	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WA10_00007	CDS	303				hypothetical protein
P002_WA10_00008	tRNA	74				tRNA-His(gtg)
P002_WA10_00009	CDS	1062	psbA			photosystem II protein D1
P002_WA10_00010	CDS	1521	matK			maturase K
P002_WA10_00011	CDS	267				hypothetical protein
P002_WA10_00012	CDS	303				hypothetical protein
P002_WA10_00013	CDS	186				hypothetical protein
P002_WA10_00014	CDS	264				hypothetical protein
P002_WA10_00015	rRNA	1523				16S ribosomal RNA
P002_WA10_00016	CDS	216				hypothetical protein
P002_WA10_00017	CDS	105				hypothetical protein
P002_WA10_00018	CDS	249				hypothetical protein
P002_WA10_00019	rRNA	2806				23S ribosomal RNA
P002_WA10_00020	tRNA	74				tRNA-Arg(acg)
P002_WA10_00021	tRNA	74				tRNA-Asn(gtt)
P002_WA10_00022	tRNA	75				tRNA-Lys(ttt)
P002_WA10_00023	tRNA	76				tRNA-Val(gac)
P002_WA10_00024	tRNA	75				tRNA-Thr(tgt)
P002_WA10_00025	tRNA	74				tRNA-Phe(gaa)
P002_WA10_00026	CDS	117				hypothetical protein
P002_WA10_00027	CDS	477	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P002_WA10_00028	CDS	678	ndhK			NADH-plastoquinone oxidoreductase subunit K
P002_WA10_00029	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P002_WA10_00030	CDS	1428	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P002_WA10_00031	CDS	1497	atpB_1			ATP synthase CF1 beta subunit
P002_WA10_00032	CDS	402	atpE			ATP synthase CF1 epsilon subunit
P002_WA10_00033	tRNA	73				tRNA-Met(cat)
P002_WA10_00034	CDS	207				hypothetical protein
P002_WA10_00035	CDS	393				hypothetical protein
P002_WA10_00036	CDS	141				hypothetical protein
P002_WA10_00037	CDS	726	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WA10_00038	CDS	249				hypothetical protein
P002_WA10_00039	CDS	555	ycf4			photosystem I assembly protein Ycf4
P002_WA10_00040	CDS	690	cemA			envelope membrane protein
P002_WA10_00041	CDS	963	petA			cytochrome f
P002_WA10_00042	CDS	237				hypothetical protein
P002_WA10_00043	CDS	360	rpl16			ribosomal protein L16
P002_WA10_00044	CDS	399	rpl14			ribosomal protein L14
P002_WA10_00045	CDS	399	rps8			ribosomal protein S8
P002_WA10_00046	CDS	246	infA			translational initiation factor 1
P002_WA10_00047	CDS	417	rps11			ribosomal protein S11
P002_WA10_00048	CDS	825	rpoA_1			RNA polymerase alpha subunit
P002_WA10_00049	CDS	264				hypothetical protein
P002_WA10_00050	CDS	849	clpP_3	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WA10_00051	CDS	147				hypothetical protein
P002_WA10_00052	CDS	3198	rpoB			RNA polymerase beta subunit
P002_WA10_00053	CDS	378				hypothetical protein
P002_WA10_00054	CDS	2058	rpoC1			RNA polymerase beta' subunit
P002_WA10_00055	CDS	4113	rpoC2			RNA polymerase beta'' subunit
P002_WA10_00056	CDS	708	rps2			ribosomal protein S2
P002_WA10_00057	CDS	744	atpI			ATP synthase CF0 subunit IV
P002_WA10_00058	CDS	315				hypothetical protein
P002_WA10_00059	CDS	246	atpH			ATP synthase CF0 subunit III
P002_WA10_00060	CDS	171	atpF_1			ATP synthase CF0 subunit I
P002_WA10_00061	CDS	288	atpF_2			ATP synthase CF0 subunit I
P002_WA10_00062	CDS	1524	atpA			ATP synthase CF1 alpha subunit
P002_WA10_00063	tRNA	72				tRNA-Arg(tct)
P002_WA10_00064	tRNA	90				tRNA-Ser(gct)
P002_WA10_00065	CDS	111	psbI			photosystem II protein I
P002_WA10_00066	CDS	225	psbK			photosystem II protein K
P002_WA10_00067	tRNA	72				tRNA-Gln(ttg)
P002_WA10_00068	CDS	2253	psaA			photosystem I P700 apoprotein A1
P002_WA10_00069	CDS	2205	psaB			photosystem I P700 apoprotein A2
P002_WA10_00070	CDS	303	rps14			ribosomal protein S14
P002_WA10_00071	tRNA	76				tRNA-Met(cat)
P002_WA10_00072	tRNA	74				tRNA-Gly(gcc)
P002_WA10_00073	CDS	297	psbZ			Photosystem II reaction center protein Z
P002_WA10_00074	tRNA	93				tRNA-Ser(tga)
P002_WA10_00075	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P002_WA10_00076	CDS	1062	psbD			photosystem II protein D2
P002_WA10_00077	CDS	267				hypothetical protein
P002_WA10_00078	tRNA	74				tRNA-Thr(ggt)
P002_WA10_00079	CDS	756				hypothetical protein
P002_WA10_00080	CDS	486	atpB_2			ATP synthase CF1 beta subunit
P002_WA10_00081	CDS	180				hypothetical protein
P002_WA10_00082	CDS	474				hypothetical protein
P002_WA10_00083	CDS	234				hypothetical protein
P002_WA10_00084	CDS	387				hypothetical protein
P002_WA10_00085	CDS	669				hypothetical protein
P002_WA10_00086	tRNA	75				tRNA-Glu(ttc)
P002_WA10_00087	tRNA	86				tRNA-Tyr(gta)
P002_WA10_00088	tRNA	77				tRNA-Asp(gtc)
P002_WA10_00089	CDS	216				hypothetical protein
P002_WA10_00090	CDS	156	psbM			Photosystem II reaction center protein M
P002_WA10_00091	tRNA	71				tRNA-Cys(gca)
P002_WA10_00092	CDS	240	rpoA_2	2.7.7.6		DNA-directed RNA polymerase subunit alpha
P002_WA10_00093	CDS	342	rpl20			ribosomal protein L20
P002_WA10_00094	CDS	339	rps18			ribosomal protein S18
P002_WA10_00095	CDS	342				hypothetical protein
P002_WA10_00096	CDS	141	psaJ			photosystem I subunit IX
P002_WA10_00097	tRNA	76				tRNA-Pro(tgg)
P002_WA10_00098	tRNA	74				tRNA-Trp(cca)
P002_WA10_00099	CDS	252	psbE			photosystem II cytochrome b559 alpha subunit
P002_WA10_00100	CDS	120	psbF			photosystem II cytochrome b559 beta subunit
P002_WA10_00101	CDS	123	psbJ			photosystem II protein J
P002_WA10_00102	CDS	279	rps19			ribosomal protein S19
P002_WA10_00103	CDS	804	rpl2			ribosomal protein L2
P002_WA10_00104	CDS	288	rpl23			ribosomal protein L23
P002_WA10_00105	CDS	123				hypothetical protein
P002_WA10_00106	CDS	369				hypothetical protein
P002_WA10_00107	CDS	420				hypothetical protein
P002_WA10_00108	tRNA	83				tRNA-Leu(caa)
P002_WA10_00109	CDS	129				hypothetical protein
P002_WA10_00110	CDS	822	ndhB_1			NADH-plastoquinone oxidoreductase subunit 2
P002_WA10_00111	CDS	858	ndhB_2			NADH-plastoquinone oxidoreductase subunit 2
P002_WA10_00112	CDS	255				hypothetical protein
P002_WA10_00113	CDS	468	rps7			ribosomal protein S7
P002_WA10_00114	CDS	303				hypothetical protein
P002_WA10_00115	CDS	627	rps4			ribosomal protein S4
P002_WA10_00116	tRNA	87				tRNA-Ser(gga)
P002_WA10_00117	CDS	291				hypothetical protein
P002_WA10_00118	CDS	249	ycf3			hypothetical chloroplast RF34
P002_WA10_00119	CDS	471	ndhA_1			NADH-plastoquinone oxidoreductase subunit 1
P002_WA10_00120	CDS	567	ndhA_2			NADH-plastoquinone oxidoreductase subunit 1
P002_WA10_00121	CDS	1182	ndhH			NADH-plastoquinone oxidoreductase subunit 7
P002_WA10_00122	CDS	279	rps15			ribosomal protein S15
P002_WA10_00123	CDS	219				hypothetical protein
P002_WA10_00124	CDS	249	atpB_3			ATP synthase CF1 beta subunit
P002_WA10_00125	CDS	135				hypothetical protein
P002_WA10_00126	CDS	438				hypothetical protein
P002_WA10_00127	CDS	270				hypothetical protein
P002_WA10_00128	CDS	240	rps3_1			ribosomal protein S3
P002_WA10_00129	CDS	333				hypothetical protein
P002_WA10_00130	CDS	714	rps3_2			ribosomal protein S3
P002_WA10_00131	CDS	204	rpl32			ribosomal protein L32
P002_WA10_00132	tRNA	80				tRNA-Leu(tag)
P002_WA10_00133	CDS	963	ccsA			cytochrome c heme attachment protein
P002_WA10_00134	CDS	1521	ndhD			NADH-plastoquinone oxidoreductase subunit 4
P002_WA10_00135	CDS	246	psaC			photosystem I subunit VII
P002_WA10_00136	CDS	306	ndhE			NADH-plastoquinone oxidoreductase subunit 4L
P002_WA10_00137	CDS	534	ndhG			NADH-plastoquinone oxidoreductase subunit 6
