locus_tag	ftype	length_bp	gene	EC_number	COG	product
P002_WC06_00001	CDS	312	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WC06_00002	CDS	225				hypothetical protein
P002_WC06_00003	CDS	297				hypothetical protein
P002_WC06_00004	CDS	405				hypothetical protein
P002_WC06_00005	tRNA	73				tRNA-Glu(ttc)
P002_WC06_00006	tRNA	73				tRNA-Glu(ttc)
P002_WC06_00007	CDS	420	rps11			ribosomal protein S11
P002_WC06_00008	tRNA	75				tRNA-Met(cat)
P002_WC06_00009	tRNA	73				tRNA-Phe(gaa)
P002_WC06_00010	CDS	261				hypothetical protein
P002_WC06_00011	CDS	195	psbJ			Photosystem II reaction center protein J
P002_WC06_00012	CDS	969	petA			cytochrome f
P002_WC06_00013	CDS	690	cemA			envelope membrane protein
P002_WC06_00014	CDS	654	ycf4			photosystem I assembly protein Ycf4
P002_WC06_00015	CDS	618	rps4			ribosomal protein S4
P002_WC06_00016	tRNA	75				tRNA-Thr(tgt)
P002_WC06_00017	tRNA	74				tRNA-Trp(cca)
P002_WC06_00018	tRNA	76				tRNA-Pro(tgg)
P002_WC06_00019	CDS	129	psaJ			photosystem I subunit IX
P002_WC06_00020	CDS	909	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WC06_00021	CDS	867	clpP_3	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WC06_00022	CDS	693	clpP_4	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WC06_00023	CDS	165				hypothetical protein
P002_WC06_00024	CDS	105				hypothetical protein
P002_WC06_00025	CDS	330				hypothetical protein
P002_WC06_00026	tRNA	75				tRNA-Met(cat)
P002_WC06_00027	CDS	303				hypothetical protein
P002_WC06_00028	CDS	186				hypothetical protein
P002_WC06_00029	CDS	300				hypothetical protein
P002_WC06_00030	CDS	240				hypothetical protein
P002_WC06_00031	CDS	306	rps14			ribosomal protein S14
P002_WC06_00032	CDS	2217	psaB			photosystem I P700 apoprotein A2
P002_WC06_00033	CDS	2301	psaA			photosystem I P700 apoprotein A1
P002_WC06_00034	CDS	276				hypothetical protein
P002_WC06_00035	CDS	297				hypothetical protein
P002_WC06_00036	CDS	180				hypothetical protein
P002_WC06_00037	CDS	537	clpP_5	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
P002_WC06_00038	CDS	195	ycf3_1			Photosystem I assembly protein Ycf3
P002_WC06_00039	CDS	249	ycf3_2			hypothetical chloroplast RF34
P002_WC06_00040	CDS	402				hypothetical protein
P002_WC06_00041	CDS	315	rpl2_1			ribosomal protein L2
P002_WC06_00042	CDS	495	rpl2_2			ribosomal protein L2
P002_WC06_00043	tRNA	75				tRNA-His(gtg)
P002_WC06_00044	CDS	495	rpl22			ribosomal protein L22
P002_WC06_00045	CDS	828	rps3			ribosomal protein S3
P002_WC06_00046	CDS	180				hypothetical protein
P002_WC06_00047	CDS	378	rpl16			ribosomal protein L16
P002_WC06_00048	CDS	384	rpl14			ribosomal protein L14
P002_WC06_00049	CDS	405	rps8			ribosomal protein S8
P002_WC06_00050	CDS	579	infA			Translation initiation factor IF-1
P002_WC06_00051	CDS	114				hypothetical protein
P002_WC06_00052	tRNA	87				tRNA-Ser(gga)
P002_WC06_00053	CDS	252				hypothetical protein
P002_WC06_00054	CDS	237				hypothetical protein
P002_WC06_00055	CDS	933	ccsA			cytochrome c heme attachment protein
P002_WC06_00056	CDS	306	ndhD	7.1.1.-		NAD(P)H-quinone oxidoreductase chain 4
P002_WC06_00057	CDS	144				hypothetical protein
P002_WC06_00058	CDS	246	psaC			photosystem I subunit VII
P002_WC06_00059	CDS	261	ndhH	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit H, chloroplastic
P002_WC06_00060	CDS	402	atpE			ATP synthase CF1 epsilon subunit
