P001_WA05_00090 	Poaceae;Festuca; 	Poaceae;Festuca	Poaceae;Agrostis; 	Poaceae;Sesleria; 	Poaceae;Alopecurus; 	Poaceae;Festuca;
P001_WA09_00007 	Ophioglossaceae;Botrychium; 	Ophioglossaceae;Botrychium	Polygonaceae;Rumex; 	Polygonaceae;Rumex; 	Polygonaceae;Rumex; 	Orobanchaceae;Pedicularis;
P001_WB08_00091 	Poaceae;Bromus; 	Poaceae;Bromus	Poaceae;Calamagrostis; 	Poaceae;Hierochloe; 	Poaceae;Nardus; 	Poaceae;Festuca;
P001_WB10_00007 	Poaceae;Nardus; 	Poaceae;Nardus	Crassulaceae;Sempervivum; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P001_WC08_00106 	Apiaceae;Bupleurum; 	Apiaceae;Hansenia	Apiaceae;Chaerophyllum; 	Apiaceae;Peucedanum; 	Orobanchaceae;Pedicularis; 	Asteraceae;Cirsium;
P001_WC11_00015 	Polygonaceae;Rumex; 	Polygonaceae;Rheum	Polygonaceae;Rumex; 	Polygonaceae;Rumex; 	Rubiaceae;Galium; 	Rubiaceae;Galium;
P001_WD11_00021 	Crassulaceae;Sedum; 	Crassulaceae;Rosularia	Crassulaceae;Sedum; 	Geraniaceae;Geranium; 	Ericaceae;Phyllodoce; 	Poaceae;Calamagrostis;
P001_WE03_00109 	Ranunculaceae;Ranunculus; 	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus; 	Ranunculaceae;Pulsatilla; 	Ranunculaceae;Anemone; 	Ranunculaceae;Anemone;
P001_WE07_00028 	Juncaceae;Luzula; 	Juncaceae;Juncus	Juncaceae;Luzula; 	Juncaceae;Luzula; 	Poaceae;Catabrosella; 	Poaceae;Calamagrostis;
P001_WG01_00133 	Ranunculaceae;Thalictrum; 	Ranunculaceae;Thalictrum	Cyperaceae;Carex; 	Ranunculaceae;Pulsatilla; 	Ranunculaceae;Anemone; 	Ranunculaceae;Aconitum;
P001_WG02_00287 	Cyperaceae;Carex; 	Ranunculaceae;Thalictrum	Cyperaceae;Carex; 	Ranunculaceae;Pulsatilla; 	Ranunculaceae;Anemone; 	Ranunculaceae;Aconitum;
P001_WG06_00118 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga; 	Crassulaceae;Sempervivum; 	Orobanchaceae;Pedicularis;
