locus_tag	ftype	length_bp	gene	EC_number	COG	product
P002_WA07_00001	CDS	243	accD_1	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic
P002_WA07_00002	CDS	123				hypothetical protein
P002_WA07_00003	CDS	231				hypothetical protein
P002_WA07_00004	CDS	186				hypothetical protein
P002_WA07_00005	CDS	111	psaI			photosystem I subunit VIII
P002_WA07_00006	CDS	555	ycf4			photosystem I assembly protein Ycf4
P002_WA07_00007	CDS	690	cemA			envelope membrane protein
P002_WA07_00008	CDS	963	petA			cytochrome f
P002_WA07_00009	CDS	792	psbA			photosystem II protein D1
P002_WA07_00010	CDS	183				hypothetical protein
P002_WA07_00011	CDS	360	rpl16			ribosomal protein L16
P002_WA07_00012	CDS	459	rpl14			ribosomal protein L14
P002_WA07_00013	CDS	399	rps8			ribosomal protein S8
P002_WA07_00014	CDS	267	infA			translational initiation factor 1
P002_WA07_00015	CDS	417	rps11			ribosomal protein S11
P002_WA07_00016	CDS	840	rpoA_1			RNA polymerase alpha subunit
P002_WA07_00017	CDS	252	rpoA_2	2.7.7.6		DNA-directed RNA polymerase subunit alpha
P002_WA07_00018	CDS	447				hypothetical protein
P002_WA07_00019	CDS	675				hypothetical protein
P002_WA07_00020	CDS	126				hypothetical protein
P002_WA07_00021	CDS	642				hypothetical protein
P002_WA07_00022	CDS	222				hypothetical protein
P002_WA07_00023	CDS	1260				hypothetical protein
P002_WA07_00024	tRNA	74				tRNA-Met(cat)
P002_WA07_00025	tRNA	74				tRNA-Gly(gcc)
P002_WA07_00026	CDS	297	psbZ			Photosystem II reaction center protein Z
P002_WA07_00027	tRNA	93				tRNA-Ser(tga)
P002_WA07_00028	CDS	1386	psbC			photosystem II CP43 chlorophyll apoprotein
P002_WA07_00029	CDS	1062	psbD			photosystem II protein D2
P002_WA07_00030	tRNA	74				tRNA-Thr(ggt)
P002_WA07_00031	CDS	219				hypothetical protein
P002_WA07_00032	CDS	306				hypothetical protein
P002_WA07_00033	CDS	477	atpB_1	7.1.2.2		ATP synthase subunit beta
P002_WA07_00034	CDS	135				hypothetical protein
P002_WA07_00035	CDS	165				hypothetical protein
P002_WA07_00036	CDS	180				hypothetical protein
P002_WA07_00037	tRNA	73				tRNA-Met(cat)
P002_WA07_00038	CDS	402	atpE			ATP synthase CF1 epsilon subunit
P002_WA07_00039	CDS	1557	atpB_2			ATP synthase CF1 beta subunit
P002_WA07_00040	CDS	1428	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P002_WA07_00041	CDS	171				hypothetical protein
P002_WA07_00042	CDS	222				hypothetical protein
P002_WA07_00043	CDS	363	ndhC			NADH-plastoquinone oxidoreductase subunit 3
P002_WA07_00044	CDS	744	ndhK			NADH-plastoquinone oxidoreductase subunit K
P002_WA07_00045	CDS	522	ndhJ			NADH-plastoquinone oxidoreductase subunit J
P002_WA07_00046	CDS	219				hypothetical protein
P002_WA07_00047	tRNA	74				tRNA-Phe(gaa)
P002_WA07_00048	CDS	270				hypothetical protein
P002_WA07_00049	tRNA	75				tRNA-Thr(tgt)
P002_WA07_00050	CDS	171				hypothetical protein
P002_WA07_00051	CDS	198				hypothetical protein
P002_WA07_00052	CDS	3207	rpoB			RNA polymerase beta subunit
P002_WA07_00053	CDS	270	rpoC1_1			RNA polymerase beta' subunit
