P001_WB01_00155 	Brassicaceae;Arabis	Poaceae;Avenella	Poaceae;Deschampsia	Poaceae;Avenella	Poaceae;Sesleria	Poaceae;Hyalopoa
P001_WB01_00239 	Brassicaceae;Arabis	Orobanchaceae;Euphrasia	Brassicaceae;Arabis	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia	Orobanchaceae;Bartsia
P001_WB01_00370 	Brassicaceae;Arabis	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Caryophyllaceae;Dianthus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus
P001_WB01_00477 	Brassicaceae;Arabis	Brassicaceae;Arabis	Brassicaceae;Arabis	Brassicaceae;Cochlearia	Asteraceae;Taraxacum	Brassicaceae;Cardamine
P001_WB03_00010 	Cyperaceae;Eriophorum	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum
P001_WB03_00027 	Cyperaceae;Eriophorum	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Asteraceae;Antennaria	Cyperaceae;Eriophorum
P001_WD08_00050 	Caryophyllaceae;Cerastium	Boraginaceae;Plagiobothrys	Boraginaceae;Myosotis	Asteraceae;Leontodon	Asteraceae;Leontodon	Campanulaceae;Campanula
P001_WD08_00176 	Caryophyllaceae;Cerastium	Caryophyllaceae;Pseudocerastium	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium	Cyperaceae;Carex	Caryophyllaceae;Cerastium
P001_WD11_00088 	Crassulaceae;Sedum	Poaceae;Castellia	Poaceae;Festuca	Poaceae;Festuca	Poaceae;Festuca	Poaceae;Festuca
P001_WD11_00281 	Crassulaceae;Sedum	Crassulaceae;Rosularia	Crassulaceae;Sempervivum	Crassulaceae;Sedum	Crassulaceae;Rhodiola	Ericaceae;Empetrum
P001_WD11_00302 	Crassulaceae;Sedum	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Cyperaceae;Carex	Asteraceae;Taraxacum	Asteraceae;Taraxacum
P001_WE02_00018 	Cyperaceae;Kobresia	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex
P001_WE02_00117 	Cyperaceae;Kobresia	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Asteraceae;Cirsium
P001_WE04_00097 	Tofieldiaceae;Tofieldia	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex
P001_WE04_00265 	Tofieldiaceae;Tofieldia	Tofieldiaceae;Tofieldia	Liliaceae;Fritillaria	Liliaceae;Gagea	Ranunculaceae;Aconitum	Cyperaceae;Carex
P001_WE12_00116 	Cyperaceae;Carex	Geraniaceae;Geranium	Geraniaceae;Geranium	Onagraceae;Epilobium	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga
P001_WE12_00123 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex
P001_WE12_00176 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum	Cyperaceae;Eriophorum
P001_WE12_00308 	Cyperaceae;Carex	Asteraceae;Taraxacum	Asteraceae;Taraxacum	Cyperaceae;Carex	Asteraceae;Taraxacum	Asteraceae;Taraxacum
P001_WE12_00364 	Cyperaceae;Carex	Poaceae;Holcus	Poaceae;Festuca	Poaceae;Sesleria	Poaceae;Festuca	Poaceae;Festuca
P001_WF01_00001 	Equisetaceae;Equisetum	Celastraceae;Parnassia	Selaginellaceae;Selaginella	Celastraceae;Parnassia	Asteraceae;Achillea	Saxifragaceae;Saxifraga
P001_WF01_00113 	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum	Equisetaceae;Equisetum
P001_WF06_00113 	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia	Brassicaceae;Arabis	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia	Orobanchaceae;Bartsia
P001_WF06_00229 	Orobanchaceae;Euphrasia	Poaceae;Festuca	Poaceae;Festuca	Poaceae;Festuca	Poaceae;Poa	Poaceae;Festuca
P001_WG02_00237 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex
P001_WG02_00252 	Cyperaceae;Carex	Ranunculaceae;Thalictrum	Cyperaceae;Carex	Selaginellaceae;Selaginella	Ranunculaceae;Trollius	Brassicaceae;Arabis
P001_WG03_00083 	Selaginellaceae;Selaginella	Cyperaceae;Carex	Cyperaceae;Kobresia	Asteraceae;Antennaria	Cyperaceae;Carex	Cyperaceae;Carex
P001_WG03_00373 	Selaginellaceae;Selaginella	Caryophyllaceae;Pseudocerastium	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium	Cyperaceae;Carex	Caryophyllaceae;Cerastium
P001_WG03_00449 	Selaginellaceae;Selaginella	Celastraceae;Parnassia	Celastraceae;Parnassia	Ranunculaceae;Aconitum	Cyperaceae;Carex	Ericaceae;Empetrum
P001_WG03_00501 	Selaginellaceae;Selaginella	Ranunculaceae;Thalictrum	Cyperaceae;Carex	Selaginellaceae;Selaginella	Ranunculaceae;Trollius	Brassicaceae;Arabis
P001_WG06_00024 	Saxifragaceae;Saxifraga	Saxifragaceae;Mitella	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga	Saxifragaceae;Saxifraga
