P001_WA03_00117 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA04_00072 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P001_WA05_00060 	Poaceae;Festuca; 	Poaceae;Chikusichloa	Poaceae;Poa; 	Poaceae;Festuca; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WA06_00119 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA07_00058 	Asteraceae;Omalotheca; 	Asteraceae;Helianthus	Asteraceae;Gnaphalium; 	Poaceae;Festuca; 	Asteraceae;Cirsium; 	Asteraceae;Antennaria;
P001_WA08_00134 	Cyperaceae;Carex; 	Cyperaceae;Carex	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WA10_00077 	Rubiaceae;Cruciata; 	Rubiaceae;Galium	Rubiaceae;Galium; 	Rubiaceae;Galium; 	Caryophyllaceae;Cerastium; 	Caryophyllaceae;Cerastium;
P001_WA11_00007 	Campanulaceae;Campanula; 	Campanulaceae;Campanula	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula; 	Campanulaceae;Campanula;
P001_WA12_00092 	Asteraceae;Matricaria; 	Asteraceae;Artemisia	Asteraceae;Anthemis; 	Asteraceae;Artemisia; 	Asteraceae;Leucanthemum; 	Asteraceae;Achillea;
P001_WB01_00030 	Brassicaceae;Arabis; 	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia; 	Orobanchaceae;Bartsia; 	Lamiaceae;Betonica; 	Plantaginaceae;Pennellianthus;
P001_WB01_00193 	Brassicaceae;Arabis; 	Brassicaceae;Pseudoturritis	Brassicaceae;Draba; 	Brassicaceae;Draba; 	Brassicaceae;Cardamine; 	Brassicaceae;Draba;
P001_WB01_00385 	Brassicaceae;Arabis; 	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus; 	Ranunculaceae;Ranunculus; 	Caryophyllaceae;Dianthus; 	Ranunculaceae;Ranunculus;
P001_WB01_00444 	Brassicaceae;Arabis; 	Poaceae;Avenella	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Poa;
P001_WB02_00029 	Salicaceae;Salix; 	Poaceae;Avenella	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Poa; 	Poaceae;Poa;
P001_WB02_00080 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
