P001_WA04_00025 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Violaceae;Viola;
P001_WA04_00094 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P001_WA07_00100 	Asteraceae;Omalotheca; 	Asteraceae;Pseudognaphalium	Asteraceae;Gnaphalium; 	Asteraceae;Antennaria; 	Asteraceae;Antennaria; 	Asteraceae;Aster;
P001_WA07_00115 	Asteraceae;Omalotheca; 	Apiaceae;Angelica	Apiaceae;Bupleurum; 	Orobanchaceae;Pedicularis; 	Crassulaceae;Sempervivum; 	Primulaceae;Trientalis;
P001_WA12_00031 	Asteraceae;Matricaria; 	Asteraceae;Tanacetum	Asteraceae;Anthemis; 	Asteraceae;Anthemis; 	Asteraceae;Artemisia; 	Asteraceae;Erigeron;
P001_WB01_00093 	Brassicaceae;Arabis; 	Brassicaceae;Schrenkiella	Rosaceae;Potentilla; 	Rosaceae;Potentilla; 	Rosaceae;Rubus; 	Rosaceae;Potentilla;
P001_WB01_00098 	Brassicaceae;Arabis; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P001_WB01_00266 	Brassicaceae;Arabis; 	Salicaceae;Salix	Salicaceae;Salix; 	Violaceae;Viola; 	Rosaceae;Dryas; 	Saxifragaceae;Saxifraga;
P001_WB01_00339 	Brassicaceae;Arabis; 	Poaceae;Avenella	Salicaceae;Salix; 	Poaceae;Deschampsia; 	Poaceae;Avenella; 	Poaceae;Alopecurus;
P001_WB01_00349 	Brassicaceae;Arabis; 	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia; 	Crassulaceae;Sempervivum; 	Saxifragaceae;Saxifraga; 	Primulaceae;Trientalis;
P001_WB02_00098 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix;
P001_WB02_00164 	Salicaceae;Salix; 	Salicaceae;Salix	Salicaceae;Salix; 	Salicaceae;Salix; 	Salicaceae;Salix; 	Violaceae;Viola;
P001_WB02_00226 	Salicaceae;Salix; 	Poaceae;Avenella	Salicaceae;Salix; 	Poaceae;Deschampsia; 	Poaceae;Avenella; 	Poaceae;Alopecurus;
P001_WB03_00145 	Cyperaceae;Eriophorum; 	Cyperaceae;Hypolytrum	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum;
P001_WB03_00148 	Cyperaceae;Eriophorum; 	Cyperaceae;Hypolytrum	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum; 	Cyperaceae;Eriophorum;
P001_WB04_00001 	Betulaceae;Betula; 	Betulaceae;Betula	Betulaceae;Betula; 	Betulaceae;Betula; 	Saxifragaceae;Saxifraga; 	Saxifragaceae;Saxifraga;
P001_WB04_00002 	Betulaceae;Betula; 	Betulaceae;Betula	Asteraceae;Omalotheca; 	Crassulaceae;Sedum; 	Orobanchaceae;Euphrasia; 	Orobanchaceae;Euphrasia;
P001_WB04_00118 	Betulaceae;Betula; 	Betulaceae;Betula	Betulaceae;Betula; 	Rosaceae;Dryas; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WB04_00131 	Betulaceae;Betula; 	Betulaceae;Betula	Betulaceae;Betula; 	Betulaceae;Betula; 	Salicaceae;Salix; 	Salicaceae;Salix;
P001_WB05_00027 	Poaceae;Anthoxanthum; 	Poaceae;Anthoxanthum	Poaceae;Arctophila; 	Poaceae;Dupontia; 	Poaceae;Festuca; 	Poaceae;Festuca;
P001_WB08_00083 	Poaceae;Bromus; 	Poaceae;Bromus	Poaceae;Poa; 	Poaceae;Poa; 	Cyperaceae;Carex; 	Cyperaceae;Carex;
P001_WB09_00001 	Asteraceae;Leontodon; 	Asteraceae;Taraxacum	Asteraceae;Leontodon; 	Asteraceae;Taraxacum; 	Asteraceae;Omalotheca; 	Asteraceae;Omalotheca;
