P001_WB01_00147 	Brassicaceae;Arabis	Poaceae;Avenella	Poaceae;Deschampsia	Poaceae;Avenella	Poaceae;Hyalopoa	Poaceae;Calamagrostis
P001_WB01_00232 	Brassicaceae;Arabis	Orobanchaceae;Euphrasia	Brassicaceae;Arabis	Salicaceae;Salix	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia
P001_WB01_00365 	Brassicaceae;Arabis	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus	Caryophyllaceae;Dianthus	Ranunculaceae;Ranunculus	Ranunculaceae;Ranunculus
P001_WB01_00482 	Brassicaceae;Arabis	Brassicaceae;Arabis	Asteraceae;Taraxacum	Brassicaceae;Cardamine	Brassicaceae;Cardamine	Brassicaceae;Arabis
P001_WB02_00018 	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix	Salicaceae;Salix
P001_WB02_00200 	Salicaceae;Salix	Orobanchaceae;Euphrasia	Brassicaceae;Arabis	Salicaceae;Salix	Orobanchaceae;Euphrasia	Orobanchaceae;Euphrasia
P001_WD08_00044 	Caryophyllaceae;Cerastium	Boraginaceae;Plagiobothrys	Boraginaceae;Myosotis	Asteraceae;Leucanthemum	Asteraceae;Antennaria	Asteraceae;Petasites
P001_WD08_00169 	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium	Caryophyllaceae;Cerastium	Cyperaceae;Carex	Caryophyllaceae;Cerastium
P001_WD11_00209 	Crassulaceae;Sedum	Asteraceae;Sonchus	Asteraceae;Hieracium	Asteraceae;Hieracium	Asteraceae;Hieracium	Asteraceae;Taraxacum
P001_WD11_00213 	Crassulaceae;Sedum	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Kobresia	Cyperaceae;Carex
P001_WD11_00288 	Crassulaceae;Sedum	Crassulaceae;Rosularia	Crassulaceae;Sempervivum	Crassulaceae;Rhodiola	Crassulaceae;Sedum	Asteraceae;Taraxacum
P001_WE04_00108 	Tofieldiaceae;Tofieldia	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex
P001_WE04_00272 	Tofieldiaceae;Tofieldia	Tofieldiaceae;Tofieldia	Ranunculaceae;Trollius	Ranunculaceae;Pulsatilla	Crassulaceae;Sempervivum	Ranunculaceae;Anemone
P001_WE12_00088 	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Carex	Cyperaceae;Kobresia	Cyperaceae;Carex
P001_WE12_00099 	Cyperaceae;Carex	Poaceae;Anthoxanthum	Cyperaceae;Carex	Poaceae;Catabrosella	Poaceae;Hierochloe	Poaceae;Calamagrostis
