locus_tag	ftype	length_bp	gene	EC_number	COG	product
P003_WG10_00001	CDS	564				hypothetical protein
P003_WG10_00002	CDS	165				hypothetical protein
P003_WG10_00003	CDS	111				hypothetical protein
P003_WG10_00004	CDS	1104				hypothetical protein
P003_WG10_00005	CDS	363	atpF_1			ATP synthase CF0 subunit I
P003_WG10_00006	CDS	210	atpF_2			ATP synthase subunit b
P003_WG10_00007	CDS	285	atpH			ATP synthase CF0 subunit III
P003_WG10_00008	CDS	828	atpI			ATP synthase CF0 subunit IV
P003_WG10_00009	CDS	114				hypothetical protein
P003_WG10_00010	CDS	741	rps2_1			ribosomal protein S2
P003_WG10_00011	CDS	264				hypothetical protein
P003_WG10_00012	CDS	2826	rpoC2	2.7.7.6		DNA-directed RNA polymerase subunit beta'
P003_WG10_00013	CDS	465				hypothetical protein
P003_WG10_00014	tRNA	74				tRNA-Trp(cca)
P003_WG10_00015	tRNA	76				tRNA-Pro(tgg)
P003_WG10_00016	tRNA	75				tRNA-Thr(tgt)
P003_WG10_00017	CDS	630	rps4			ribosomal protein S4
P003_WG10_00018	CDS	558	ycf4			photosystem I assembly protein Ycf4
P003_WG10_00019	CDS	651	cemA			envelope membrane protein
P003_WG10_00020	CDS	969	petA			cytochrome f
P003_WG10_00021	tRNA	75				tRNA-Glu(ttc)
P003_WG10_00022	tRNA	84				tRNA-Tyr(gta)
P003_WG10_00023	tRNA	76				tRNA-Asp(gtc)
P003_WG10_00024	CDS	156				hypothetical protein
P003_WG10_00025	CDS	105	psbM			photosystem II protein M
P003_WG10_00026	tRNA	71				tRNA-Cys(gca)
P003_WG10_00027	CDS	3234	rpoB			RNA polymerase beta subunit
P003_WG10_00028	CDS	468	rpoC1_1			RNA polymerase beta' subunit
P003_WG10_00029	CDS	1728	rpoC1_2			RNA polymerase beta' subunit
P003_WG10_00030	CDS	849				hypothetical protein
P003_WG10_00031	tRNA	81				tRNA-Leu(tag)
P003_WG10_00032	CDS	933	ccsA			cytochrome c heme attachment protein
P003_WG10_00033	CDS	204				hypothetical protein
P003_WG10_00034	CDS	402	rps2_2			ribosomal protein S2
P003_WG10_00035	CDS	594	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
P003_WG10_00036	CDS	249				hypothetical protein
P003_WG10_00037	CDS	159				hypothetical protein
P003_WG10_00038	CDS	423				hypothetical protein
P003_WG10_00039	tRNA	72				tRNA-Arg(tct)
P003_WG10_00040	CDS	345				hypothetical protein
P003_WG10_00041	CDS	249				hypothetical protein
P003_WG10_00042	CDS	258				hypothetical protein
P003_WG10_00043	CDS	165				hypothetical protein
P003_WG10_00044	CDS	228				hypothetical protein
P003_WG10_00045	CDS	177	rps12			ribosomal protein S12
P003_WG10_00046	CDS	483	rps7			ribosomal protein S7
P003_WG10_00047	CDS	213				hypothetical protein
P003_WG10_00048	CDS	168				hypothetical protein
P003_WG10_00049	CDS	369	rpoA_1			RNA polymerase alpha subunit
P003_WG10_00050	tRNA	83				tRNA-Leu(caa)
P003_WG10_00051	tRNA	72				tRNA-Val(gac)
P003_WG10_00052	CDS	1602	rbcL			ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit
P003_WG10_00053	tRNA	72				tRNA-Val(gac)
P003_WG10_00054	CDS	291	rps14			ribosomal protein S14
P003_WG10_00055	CDS	2205	psaB			photosystem I P700 apoprotein A2
P003_WG10_00056	CDS	2301	psaA			photosystem I P700 apoprotein A1
P003_WG10_00057	tRNA	76				tRNA-Met(cat)
P003_WG10_00058	CDS	336				hypothetical protein
P003_WG10_00059	CDS	435	atpA			ATP synthase CF1 alpha subunit
P003_WG10_00060	rRNA	1513				16S ribosomal RNA
P003_WG10_00061	CDS	369				hypothetical protein
